价格口径,储能结构,plan,emerg,total,emerg_kwh,days
H,daily,13938905.360483743,874413.7660692746,14813319.126553018,136374.4995637575,334
H,2day,13789225.469617417,869724.091548625,14658949.561166042,140307.02026894168,334
G,daily,13867661.64396269,905601.8055015915,14773263.449464282,141658.09599314537,334
G,2day,13669870.551125418,927659.6927548436,14597530.243880263,155951.83831323305,334
