日期,计划购电费/元,紧急购电费/元
2025-02-01,23664.81484529305,3.889486244190721e-11
2025-02-02,58689.67313129996,3.814357540932179e-11
2025-02-03,58195.24675813745,5.04390884614736e-11
2025-02-04,57023.91817260722,5.25279624241648e-11
2025-02-05,59447.34606983657,37.39438725671371
2025-02-06,59294.223993722604,5.481740894541787e-11
2025-02-07,22893.41214720624,2.845357016667549e-11
2025-02-08,21303.53406916364,6.287923604020306e-11
2025-02-09,54709.345464951126,6.096786897558105e-11
2025-02-10,56839.998667427004,3.625247657623731e-11
2025-02-11,55224.309721991405,5.107572498275203e-11
2025-02-12,53680.083987556834,5.313332573919638e-11
2025-02-13,54644.80937091198,6.043043496162248e-11
2025-02-14,19899.241424835545,6.436059041270426e-11
2025-02-15,18980.82150081946,3.273815273305469
2025-02-16,51064.02867426506,68.4585709200838
2025-02-17,51793.815678866005,5.745060926987122e-11
2025-02-18,49864.555345676534,87.60817467004748
2025-02-19,49242.3016557008,312.58122822472
2025-02-20,49833.684765678496,4.936377884234844e-11
2025-02-21,18442.714563645954,3.8755351927655116e-11
2025-02-22,18300.768683816917,4.603292846905305e-11
2025-02-23,49893.11671256118,5.262837676767162e-11
2025-02-24,49089.8517633694,53.33855224699012
2025-02-25,47578.274712623825,67.1416270300392
2025-02-26,46020.02992060675,7.009069746127805e-11
2025-02-27,45229.90132134294,4111.690356452198
2025-02-28,18003.571891386688,5.23842729194257e-11
2025-03-01,17940.456980142575,4.884104831681668e-11
2025-03-02,47334.18387566743,9365.472635904096
2025-03-03,50504.3038163898,5.847886153098614e-11
2025-03-04,51570.59207084726,4.268599917978122e-11
2025-03-05,50174.749891056665,4.887466387160089e-11
2025-03-06,47732.89686296435,6.688244136299203e-11
2025-03-07,17309.538168781524,4.234322581453398e-11
2025-03-08,16882.157350475267,3.265639325622516e-11
2025-03-09,45069.4045903545,4.6295188349532165e-11
2025-03-10,43730.60398579834,7199.231674801547
2025-03-11,46909.17973384993,6.859452272856004e-11
2025-03-12,46532.969330215165,4.3094898316553555e-11
2025-03-13,44221.021169022526,2679.3132017360153
2025-03-14,16954.49911338277,5.362444810419475e-11
2025-03-15,16143.253352498503,684.893201185803
2025-03-16,42534.62900646017,7.461180000057503
2025-03-17,43513.10800929862,5.4962964401994444e-11
2025-03-18,40667.61194249044,3550.951967799988
2025-03-19,40396.17431696003,491.59849472622477
2025-03-20,41095.84774006507,1160.8690222963776
2025-03-21,15442.003518883375,305.82371108337486
2025-03-22,15767.144526274567,4.076574766642694e-11
2025-03-23,40012.321244634935,5.922658496970712e-11
2025-03-24,40849.778236037906,5.690021842585935e-11
2025-03-25,39287.397393068706,1882.5350319675679
2025-03-26,40877.7364916824,4.2260474675259723e-11
2025-03-27,41042.42767026802,5.1572434545121845e-11
2025-03-28,15159.22591995525,3.1608363260104966e-11
2025-03-29,15576.76424923098,4.694538358052114e-11
2025-03-30,39511.08574362424,5.469083941278541e-11
2025-03-31,36580.675664420276,6001.685111067898
2025-04-01,39335.342851346926,5.341264985858629e-11
2025-04-02,40645.884499804255,3114.387812300631
2025-04-03,41220.491199856544,4.2895089480410315e-11
2025-04-04,15069.0809426909,4.040255796589065e-11
2025-04-05,15102.188742036422,3.2618524326011306e-11
2025-04-06,40002.49632666802,2.893766937184239e-11
2025-04-07,39775.640853410754,6.111023143073879e-11
2025-04-08,39944.88910222002,4.940686249010896e-11
2025-04-09,39845.60310416436,4.056728303281076e-11
2025-04-10,40471.56642517225,5.696762794826781e-11
2025-04-11,14825.559884196215,3.478255539146602e-11
2025-04-12,15069.486061113686,3.9247719185731e-11
2025-04-13,39080.23543068806,4.153887989133409e-11
2025-04-14,39090.72366735435,300.96266906911814
2025-04-15,39872.840598351766,3.773091572512043e-11
2025-04-16,37510.18741281802,4.571394329744294e-11
2025-04-17,38410.33775367729,4.2031260638619725e-11
2025-04-18,14401.845622887973,4.585573337712034e-11
2025-04-19,14475.435153096489,2.4816002697214402e-11
2025-04-20,37555.54449386956,4.622889893113325e-11
2025-04-21,37684.03696313012,4.4216193151314084e-11
2025-04-22,37168.62184672117,6.693079673825153e-11
2025-04-23,37079.49121033134,4.970936240411561e-11
2025-04-24,35985.49796009043,6.313547551428655e-11
2025-04-25,13453.68084486476,4.659383456839806e-11
2025-04-26,13214.597475270337,4.8108465655616324e-11
2025-04-27,33661.43755173654,6.842932798178936e-11
2025-04-28,36554.88446172466,451.0018687190478
2025-04-29,38991.44492209606,5.3814050771094915e-11
2025-04-30,39019.457914816856,4.4223428474765565e-11
2025-05-01,37890.759195318446,9865.128645309484
2025-05-02,13891.683798874625,10453.517091645537
2025-05-03,17839.259550804996,643.7518262556205
2025-05-04,37518.193377898104,9052.256412908462
2025-05-05,36861.36698035796,8230.963382169895
2025-05-06,37820.10209502419,8959.938863896026
2025-05-07,37440.23265136222,10026.829367246679
2025-05-08,40174.430202104646,1531.280297752652
2025-05-09,19334.152837118174,5.624953880456474e-11
2025-05-10,16481.61637528844,3.410044657758959e-11
2025-05-11,41413.055788223275,364.5754454332034
2025-05-12,40121.32168502255,5.563707805578133e-11
2025-05-13,39234.15029136633,84.40951163737233
2025-05-14,39915.13610989542,4.557773913838047e-11
2025-05-15,39353.72357850956,4.60890570153083e-11
2025-05-16,15342.5730261868,4.329639313738198e-11
2025-05-17,15416.422642082201,4.737286016243125e-11
2025-05-18,37734.42748325551,35.31869833338943
2025-05-19,38260.415476147784,467.153247645628
2025-05-20,36584.28579840567,57.635111376490606
2025-05-21,36326.78300146677,5.754146453762487e-11
2025-05-22,37368.51568910133,271.74653337486905
2025-05-23,15121.915470936705,3.885441390849564e-11
2025-05-24,15634.106971223402,4.5580674012946075e-11
2025-05-25,36946.49892181634,234.97148407135978
2025-05-26,35853.20949575209,1458.82217107397
2025-05-27,40136.08598312628,4.3727040655028305e-11
2025-05-28,39972.17557560321,5.587001561391247e-11
2025-05-29,38589.45807459728,367.6777723201554
2025-05-30,15762.68513558934,4.1317770982374214e-11
2025-05-31,15954.703613670974,3.091040867708727e-11
2025-06-01,39355.24293026292,57100.8363449603
2025-06-02,44023.56935847839,17994.90689033333
2025-06-03,44613.898311648954,10463.124129304124
2025-06-04,44405.02303520179,10942.821736477063
2025-06-05,44122.67354438456,19320.918025450264
2025-06-06,17730.672466547338,19961.96925145924
2025-06-07,17878.3774083216,12075.943412617618
2025-06-08,45811.397993088845,9015.57709911953
2025-06-09,50630.90366576391,1067.3804494158817
2025-06-10,50719.3769402457,502.00969383671776
2025-06-11,50722.06897285407,10418.25785437599
2025-06-12,50917.94644753893,7.207520330565487e-11
2025-06-13,23190.19831282057,4.808564202374299e-11
2025-06-14,23321.70649312727,5.365168326276759e-11
2025-06-15,50886.10757765231,312.8666174773897
2025-06-16,50806.82965744868,156.66557884424165
2025-06-17,50083.50260392463,5830.389622825725
2025-06-18,50798.46963267148,413.7822302833849
2025-06-19,50591.0695496474,758.012298986715
2025-06-20,22718.345864652365,4.410445181290967e-11
2025-06-21,23023.976536427668,4.913767071013097e-11
2025-06-22,50193.04612900512,509.03469198173195
2025-06-23,49597.45884029713,161.29987627706797
2025-06-24,49496.14207123416,18625.404438258793
2025-06-25,49817.84943661744,95.24190485307679
2025-06-26,50378.120675564336,378.51409367221095
2025-06-27,22012.086320459734,4.7915643008877845e-11
2025-06-28,21968.935664641835,4.7130449765120376e-11
2025-06-29,48878.85375664624,53.181989999559065
2025-06-30,49366.03618351011,642.1630073810556
2025-07-01,49410.792633792866,22065.345659699655
2025-07-02,48203.75727441101,14930.510174344006
