日期,w1_L(d-7),w2_L(d-14),w3_典型日,u1_P(d-1),u2_P(d-2),u3_典型日,计划购电量/kWh,计划购电费/元,紧急购电量/kWh,紧急购电费/元,平衡残差/kWh,储电量最小/kWh,储电量最大/kWh
2025-02-01,0.7999999985999999,9.999999970000023e-10,0.2000000004,9.999999970000023e-10,0.7999999985999999,0.2000000004,45793.74567042671,24420.821214386644,1.0754064305729116e-11,4.1376653214797444e-11,2.2737367544323206e-13,2474.6254979788814,10800.0
2025-02-02,8.899883193846183e-10,0.9999999981977608,9.122508917095068e-10,8.617457574842509e-10,0.78211799829998,0.21788200083827425,86421.15797389508,53904.420471216574,2.248334851628897e-11,8.659944628064409e-11,2.2737367544323206e-13,1208.8384728822293,10800.0
2025-02-03,8.584869874566235e-10,0.6860687465047353,0.3139312526367777,0.9999999971783431,1.0083466703689664e-09,1.813310224003327e-09,82743.62446555318,51476.6512989944,2244.3207246212246,14809.613260388858,2.2737367544323206e-13,1200.0,10787.899945649451
2025-02-04,9.999999970000023e-10,0.7999999985999999,0.2000000004,0.2000000004,0.7999999985999999,9.999999970000023e-10,84134.01644920844,52361.473809572984,2589.8714616968514,16597.0075592976,2.2737367544323206e-13,1200.0,10800.0
2025-02-05,0.6202210631196267,0.37977893595843565,9.219376941877708e-10,0.7941702325443645,0.2058297665348318,9.208038227269266e-10,89785.47253576815,56587.72279997045,5.398809267127547,31.358983628062074,2.2737367544323206e-13,1295.2591889548921,10800.0
2025-02-06,0.8442330297362204,0.15576696881019927,1.4535804930683688e-09,0.08889741999476794,0.911102578855642,1.1495898870411864e-09,90327.63337746655,57185.27349787725,42.22485353474353,245.95780635651948,2.2737367544323206e-13,1494.5076477638916,10800.0
2025-02-07,0.999999997884548,1.0771129349864648e-09,1.03833925313023e-09,0.7978628292779816,1.005437745329535e-09,0.20213716971658055,39042.21830970209,20005.30833305179,170.4786620103588,956.7774436969809,1.1368683772161603e-13,1200.0,10800.0
2025-02-08,0.8220844424216028,9.571292997555325e-10,0.17791555662126782,1.4080446661762281e-09,0.28020829684533227,0.7197917017466231,36662.94234168742,19275.991719154255,373.91612069509483,2124.3303509020056,1.1368683772161603e-13,1200.0,10800.0
2025-02-09,0.9999999945084155,2.7305172626668427e-09,2.761067054007474e-09,0.3140231747760272,0.6859768245215099,7.024628037830732e-10,81941.04266154648,51071.027112061114,2189.542550318656,14580.325746792376,2.2737367544323206e-13,1200.0,10800.0
2025-02-10,0.20941643475486663,0.7905835635584655,1.6866679686436004e-09,0.999999996003397,1.2353843661774432e-09,2.761218621176239e-09,87644.28281894755,54749.223826588466,1.4788725799519398e-11,4.565862932182085e-11,3.126388037344441e-13,1308.7074669132282,10800.0
2025-02-11,0.2647828589205382,0.39310816864508824,0.3421089724343736,4.184120626069082e-10,0.9999999991197603,4.6182769115201045e-10,82341.48556999513,50908.255664319615,236.08700324659748,1447.6349567405205,3.410605131648481e-13,1200.0,10800.0
2025-02-12,0.3577521719348976,0.6422478271216897,9.434126083326547e-10,0.6148778905904498,0.1927747277238728,0.19234738168567742,80433.34124942799,49546.06963606777,901.5549235610498,6169.482563807276,2.2737367544323206e-13,1200.0,10800.0
2025-02-13,0.4706802564277778,0.5293197429482308,6.239914110901375e-10,3.8516649145270457e-10,0.9999999992300277,3.848056692113748e-10,82429.3153733207,51334.96835511658,1.2337353361147052e-11,5.06460890448146e-11,2.2737367544323206e-13,1222.3824957591733,10800.0
2025-02-14,0.09797697447564072,0.45776579804908607,0.4442572274752733,4.046827375895659e-10,0.9999999991813511,4.1396624370884586e-10,51326.23079356458,28705.66535736639,5.8761884247360285e-12,2.463916715100822e-11,1.1368683772161603e-13,3233.1442807251806,10800.0
2025-02-15,0.7132898621070053,0.28671013620812813,1.6848665836170843e-09,0.48940313112884953,0.5105968681913323,6.798180835177378e-10,35219.442375743034,18119.31300281233,607.0698400290598,2761.5321028612825,1.1368683772161603e-13,1200.0,10800.0
2025-02-16,0.39706110060731303,0.41462432995892795,0.18831456943375904,1.0166490114434839e-09,0.23818197368720304,0.7618180252961478,70559.3232143301,42336.160956294516,8637.729976757015,50629.10465333243,2.2737367544323206e-13,1200.0,10582.685649234283
2025-02-17,0.7281386571333511,0.271861342308253,5.583958369626199e-10,3.8640716145869323e-10,0.9999999992287769,3.848160299086888e-10,79425.53439179878,48850.5947832473,194.50425715526075,1150.79340422852,2.2737367544323206e-13,1200.0,10800.0
2025-02-18,9.99999997000002e-10,0.5999999992,0.3999999998000001,0.39999999980000006,0.5999999991999999,9.999999970000019e-10,74216.39353058208,45098.45084840788,2544.4419482573903,15755.927811451393,2.2737367544323206e-13,1200.0,10280.954431111175
