配置,计划费,买入,偏差费,紧急,总费用
H·daily·无调整·官方,13016563.34215794,13016563.34215794,0.0,3021897.739523713,16038461.081681654
H·daily·三点·官方,13016563.34215794,12943932.552375544,368109.3295060218,1681506.1371614186,14993548.019042984
H·daily·三点+对冲·官方,13016563.34215794,13279218.070360627,382298.4347390415,498061.87834280444,14159578.383442473
H·daily·三点+对冲·组合,12995365.509661295,13247010.833983315,277608.26300059265,494748.32293741865,14019367.419921327
H·2day·三点+对冲·组合,12946585.642881637,13198126.6949851,277768.4464714779,494823.39848446875,13970718.539941045
G·2day·三点+对冲·组合,12826235.746207455,13073817.243862238,275696.6247896592,487102.7672557044,13836616.635907602
