配置,lam,kappa,margin,开发期(2-6月)/万元,冻结验证期(7-12月)/万元,全年描述值/万元,开发期选中,验证期排名
λ=0.7 κ=1.015 m=75,0.7,1.015,75.0,591.7,848.6,1440.3,True,3
λ=0.5 κ=1.015 m=75,0.5,1.015,75.0,592.2,844.1,1436.3,False,2
λ=0.3 κ=1.015 m=75,0.3,1.015,75.0,594.1,843.6,1437.6,False,1
λ=0.9 κ=1.015 m=75,0.9,1.015,75.0,598.2,853.9,1452.1,False,4
λ=1 κ=1.015 m=75,1.0,1.015,75.0,602.8,859.3,1462.0,False,5
