λ_plan,adj_None,adj_0.5,adj_0.3,adj_0.0
1.0,1347.551729165625,1351.2862402093276,1365.0105181773188,1392.9242766304274
0.5,1331.5135252989708,1327.7811233128439,1339.5775563471682,1366.3319251286773
0.3,1330.2776070948817,1322.6726292070255,1332.3303230257845,1358.1179017771974
0.0,1336.3474469302544,1324.487691694382,1331.3197767287797,1346.8509531184798
