窗口W/天,计划购电费/万元,紧急购电费/万元,总费用/万元
1,1238.7,182.2,1420.9
3,1242.1,160.3,1402.5
7,1248.8,150.6,1399.3
14,1255.9,143.9,1399.8
30,1259.2,139.1,1398.3
