月,e_net_均值/kW,e_net_q80/kW
1,,
2,-103.86764476190486,85.06251199999956
3,-91.62448968189968,132.75519199999982
4,-182.70912253703708,98.31450400000014
5,-171.18319379032258,159.05440799999948
6,44.65949997222217,433.2436600000007
7,-62.32907431003589,358.90458800000056
8,-186.47969612455202,125.65764000000017
9,-253.2261237546297,106.04325999999975
10,-43.42049284946241,171.92699999999996
11,25.02332890277771,182.5654159999999
12,67.01147258064506,261.3097839999999
