,A,L05,L6_plan,L6_adj,L6_both
2025-11-21,21044.724874421463,20277.10574477775,20805.88615957921,20914.76971683652,20686.51171160989
2025-11-22,21272.759289936497,20637.48881370718,20899.41966899948,21000.767617065798,20622.873896516514
2025-11-23,53340.5391163851,53827.275108974274,53495.79025276319,54111.0241400418,54394.220961498606
2025-11-24,51654.18523621618,51360.13884205068,51306.05132327759,52643.27792382142,52063.60716462576
2025-11-25,54453.20469123036,53067.341467604274,53974.783908623875,54342.65550395122,53867.19822000048
2025-11-26,54588.44498676201,54143.375854023405,54317.55664979011,53317.154911174024,53167.1641285284
2025-11-27,54922.796252026565,54782.29041320094,54865.11489811141,54692.18807751652,54613.626404563875
2025-11-28,21108.46562254853,20988.902453125414,20772.569146194677,20650.990236917893,20389.11609460161
2025-11-29,22465.21708127534,21670.278239201176,21840.59726380873,23328.53206323809,22461.736567311575
2025-11-30,55365.670478186854,55957.68379628891,55395.18850067792,56511.58909327705,56962.984038278104
2025-12-01,60216.063258621696,59779.640144971454,60033.532651157446,60464.7089402507,60032.9401667669
2025-12-02,62161.02391871234,61750.973773316095,61834.646763302066,62133.24247963439,61605.00473627777
2025-12-03,62033.52550587486,61156.89831899004,61734.63172605966,61480.38228335585,61181.48850322828
2025-12-04,61309.28063072074,60935.20702250341,61131.30192903976,61251.12811173328,61076.66704190272
2025-12-05,25927.972645801776,25755.880772503395,25879.459734291173,25370.656763450206,25295.605410501532
2025-12-06,26873.076460179087,26087.595323914855,26674.97876652538,27896.475362873385,27248.845413013405
2025-12-07,61625.256759001124,60366.19481799722,60867.895506300985,63464.84839993722,62694.39983530868
2025-12-08,62371.56169041377,61137.4984445426,62039.00264189963,61761.55834073148,61469.5513866254
2025-12-09,61330.83805907522,60664.09520928335,61067.70368180235,61076.510632576625,60753.57294344814
2025-12-10,61128.90935118329,60225.49737177951,60336.38140919385,61365.72193422211,60508.4492274146
2025-12-11,60213.946754866716,60193.18531261201,60058.192943569906,59777.942609065394,59613.48412447414
2025-12-12,28225.80895499877,27479.944812846625,28112.52298155739,27129.254164119262,27012.19416281016
2025-12-13,27629.10715599974,28461.47094723563,27707.36353947683,27432.51605992174,27062.221100453593
2025-12-14,62267.56499785891,62236.72198827832,62199.08400026031,62422.03899901732,62431.788304761336
2025-12-15,62552.502065815694,61475.882552485484,62167.24418392404,62270.50304931061,61885.278759943176
2025-12-16,61821.26785493748,62115.10588842582,61912.66218949511,61391.89708362195,61314.85906148654
2025-12-17,61226.04985367674,60804.84048026598,61101.68943828679,60888.65781542975,60786.109609952255
2025-12-18,60924.35280732084,60471.2554894432,60831.53433712432,60677.04387790054,60349.83282156872
2025-12-19,27405.709842683158,26795.666304014143,27245.40396935918,27147.532490758113,26986.33001045933
2025-12-20,26107.877220212835,26289.711638978504,25818.619718333113,27812.463986341132,27476.708014542335
2025-12-21,61340.6161877949,61124.22280110859,61209.30966756591,61346.22075778046,61207.720190014545
2025-12-22,61204.278235052894,60750.49628434842,61002.120540026044,61327.227692302775,61071.41469213636
2025-12-23,60277.26397739653,60407.26750493982,60198.55151097523,60256.769033231794,60049.46886248746
2025-12-24,60041.68865751504,60557.3189995147,60392.320877754995,59865.375963915634,60015.112060050546
2025-12-25,61464.92341844189,61283.42530823932,61201.293993408646,61293.59606359661,60860.76643032786
2025-12-26,26741.013434370576,26580.01789685706,26711.080522613258,26691.482812672166,26585.81954398982
2025-12-27,25446.16489989653,25583.81544180824,25546.440004219276,25909.525990899714,25730.230716929713
2025-12-28,59955.58495988504,59842.24652347491,59637.61789336091,59481.09435712815,59521.7451892114
2025-12-29,60988.50385800002,60298.23456353429,60826.5747285352,61044.47949107319,60855.14878919227
2025-12-30,60777.77803705442,61174.76384659068,60925.05972898498,60228.675803470636,60230.10734926301
2025-12-31,61579.39812066221,60606.46027243208,61087.51319840733,61289.52137864505,60920.91377370375
