,mse_plan,mse_adj,mse_both,mae_plan,mae_adj,mae_both,A,L05
2025-07-22,52560.14884158801,52461.1699282878,52384.465543134276,52483.28855672789,51895.885434584256,52197.31064938412,52688.54675796311,52407.42681985597
2025-07-23,56808.11506723089,57057.38261568182,55904.04177802786,56744.02057919351,56437.94745986145,55222.571484292006,57961.46475250399,56629.560901450575
2025-07-24,50841.255770627125,52408.7616359218,51063.166320228076,50820.53750379448,52957.06396011299,51336.32695667081,52296.01607206269,50803.453984275155
2025-07-25,24648.19905984397,24099.812304344217,24518.673350932768,24645.661145440925,24375.166798510676,24068.095659866885,24291.497759754984,24685.471604025035
2025-07-26,24797.173392340257,24731.501112197984,24689.51462946197,24754.352595104643,24497.465402266713,24369.517274289843,24828.439165583033,24898.94754123074
2025-07-27,53516.83084544536,54728.06498846247,53808.036875602884,53403.93845998892,55196.91475495255,54163.55743356338,54436.85895830495,53121.30010138202
2025-07-28,54956.97178538859,55794.49973571972,55239.03744337475,54809.48463522233,56155.829242791806,55373.58010334314,55562.71135024045,55640.82109236215
2025-07-29,52063.08689724123,53508.88151192857,51924.01337948555,51929.58084722559,53590.9135542862,52387.62223323789,53435.164720023575,51661.673602754876
2025-07-30,52401.48144713688,56300.5805061108,52406.50513711193,52317.29299342637,56204.39276260956,52215.641393299455,56292.93208469498,52124.764641187336
2025-07-31,52991.06062995787,54379.216485598845,53358.241536698675,52834.44564996696,54876.46941926278,53474.01599685558,53731.62481838905,52912.10221542445
2025-08-01,24010.476343028346,23846.86959617867,23836.81845239959,24059.85683171956,23902.3358965226,23941.665241434734,24020.527486807427,24180.52828423632
2025-08-02,23435.706473322985,23715.942506348933,23420.550150672738,23419.611184988684,23704.48611457474,23394.85608654506,23731.303381002777,23561.910927765035
2025-08-03,46080.01048960362,45591.06065147048,45657.758738609686,46160.03801474994,44587.57695811119,44878.52967855397,46117.360112383656,46113.428937366494
2025-08-04,48946.73217859106,47754.12717861724,48615.32032049973,48973.03246549549,46828.18811446687,47669.05110867087,48270.56179295231,48971.9843512761
2025-08-05,46357.62574880905,46770.75117406377,47302.8518166893,46474.2951655737,46844.05428507519,47699.66125614847,46060.5919620115,46542.07411789127
2025-08-06,46632.49450279971,49679.37186229342,47007.5084915708,46433.547785628696,50989.11943808897,46853.26018031943,49124.1310266901,46540.86654629391
2025-08-07,46210.58501316704,46824.97009487381,46249.166754383885,46174.75030695439,47039.81433789551,46418.29664538898,46777.832336996675,46036.40314472844
2025-08-08,23503.235646920864,23296.303057353376,23413.524582396854,23488.871868824575,23002.42158170973,23093.295969624218,23383.000155370533,23521.2004696056
2025-08-09,22995.421675539474,22938.44387516294,22986.949855541825,23022.40945658046,22946.292378768467,23013.49707933408,22942.104717830058,22902.698406917334
2025-08-10,45542.63894304646,47638.23970521119,45705.920653701665,45179.572283709625,47668.68738102375,45721.40721919599,47620.327856514385,45576.61561883995
2025-08-11,46154.300442696396,46796.072543321694,46137.53407657356,46072.28817477316,46757.0364828043,45998.9495084985,46793.4114119989,45912.280786376854
2025-08-12,47500.9162542239,48174.66289998417,47685.78629399806,47468.335916287215,49253.19406103919,48036.761748090474,47806.63022268599,47316.052602336844
