方案,计划购电费/万元,紧急购电费/万元,总费用/万元,相对官方/%
官方 W=7（网格）,1260.4,207.0,1467.4,0.0
最优配置：EWMA h=5 κ=1.02+m=50,1329.1,77.5,1406.6,-4.14
