日期,紧急购电量/kWh
2025-02-01,1.077982147990042e-11
2025-02-02,9.07718344933528e-12
2025-02-03,1.439204311282083e-11
2025-02-04,1.2990941655743882e-11
2025-02-05,1.722355591482483e-11
2025-02-06,1.7468027024847288e-11
2025-02-07,1.1823431123048067e-11
2025-02-08,1.4159340366859396e-11
2025-02-09,1.3794743125572495e-11
2025-02-10,1.4934276038047756e-11
2025-02-11,1.1471934513451743e-11
2025-02-12,16.390148866682374
2025-02-13,1.0891343382724017e-11
2025-02-14,1.5528356378524677e-11
2025-02-15,1.616184963637579e-11
2025-02-16,672.8806085339105
2025-02-17,2.0854984406071253e-11
2025-02-18,1.588418285791704e-11
2025-02-19,62.407294166683435
2025-02-20,11.613194866681512
2025-02-21,1.371064373145714e-11
2025-02-22,1.2137180149807136e-11
2025-02-23,2.197941828541161e-11
2025-02-24,37.634274677792696
2025-02-25,38.068246666680935
2025-02-26,2.1041834941115667e-11
2025-02-27,304.13375457423217
2025-02-28,1.5798029551206128e-11
2025-03-01,1.2917222846908771e-11
2025-03-02,2.4976465340387222e-11
2025-03-03,1.8592072326129028e-11
2025-03-04,1.7287504761043238e-11
2025-03-05,1.3560264022771662e-11
2025-03-06,1.8395174272711756e-11
2025-03-07,1.2577938690583323e-11
2025-03-08,1.2027268070369246e-11
2025-03-09,1.4688777971727518e-11
2025-03-10,1.9791168703875428e-11
2025-03-11,1.964053919500941e-11
2025-03-12,1.4986768770430814e-11
2025-03-13,1.2990497566534032e-11
2025-03-14,1.1372458530445329e-11
2025-03-15,5.942877730012926
2025-03-16,1.6400000000193842
2025-03-17,1.9581447574523736e-11
2025-03-18,361.30002693335126
2025-03-19,1.6556422899327572e-11
2025-03-20,10.071506000014054
2025-03-21,115.07968053334179
2025-03-22,1.0701661778966809e-11
2025-03-23,1.4081180665925785e-11
2025-03-24,1.821437445315155e-11
2025-03-25,1.3206769011731012e-11
2025-03-26,1.255084924878247e-11
2025-03-27,1.6511236822225328e-11
2025-03-28,5.857536677922326e-12
2025-03-29,1.37375666398043e-11
2025-03-30,1.8696599823897486e-11
2025-03-31,2.390532216622887e-11
2025-04-01,1.688738038296833e-11
2025-04-02,1.3090861727960146e-11
2025-04-03,1.505115476696517e-11
2025-04-04,1.1219580819954444e-11
2025-04-05,1.2671641513861687e-11
2025-04-06,7.927436485033468e-12
2025-04-07,1.3801626508325171e-11
2025-04-08,1.3149148436752967e-11
2025-04-09,1.2778132718604951e-11
2025-04-10,1.33898447884917e-11
2025-04-11,8.22275580958376e-12
2025-04-12,1.0944356532149868e-11
2025-04-13,1.9410695273336387e-11
2025-04-14,1.88031812342615e-11
2025-04-15,1.568212226743526e-11
2025-04-16,1.9744650359143634e-11
2025-04-17,1.669187010833184e-11
2025-04-18,8.5087492607272e-12
2025-04-19,6.827427512234863e-12
2025-04-20,1.7559287357471476e-11
2025-04-21,1.616484723854228e-11
2025-04-22,2.355304840051531e-11
2025-04-23,1.8247625632739073e-11
2025-04-24,1.7075924008125298e-11
2025-04-25,1.191757803553628e-11
2025-04-26,1.127542503809309e-11
2025-04-27,1.6218359988329212e-11
2025-04-28,1.8329338047351484e-11
2025-04-29,1.3880174787317401e-11
2025-04-30,1.610356292758297e-11
2025-05-01,1877.174395593347
2025-05-02,1130.5652604000097
2025-05-03,161.33127805534178
2025-05-04,1561.5200597520202
2025-05-05,1014.8469264613475
2025-05-06,1781.192467292011
2025-05-07,1423.01352637068
2025-05-08,82.43748333335151
2025-05-09,9.630518604808458e-12
2025-05-10,1.024313966979662e-11
2025-05-11,36.1090316933509
2025-05-12,1.248423586730496e-11
2025-05-13,1.3558043576722412e-11
2025-05-14,1.8728796291611616e-11
2025-05-15,1.2411960348401863e-11
2025-05-16,7.809308755213351e-12
2025-05-17,1.1483619610785922e-11
2025-05-18,5.236666666686396
2025-05-19,79.23650000001058
2025-05-20,2.2621349238249877e-11
2025-05-21,1.8033824433771883e-11
2025-05-22,2.570000000020259
2025-05-23,145.36080162667503
2025-05-24,74.1576755766751
2025-05-25,12.048766666684202
2025-05-26,1.7068124691377307e-11
2025-05-27,1.1176615188901451e-11
2025-05-28,1.780842140419736e-11
2025-05-29,17.817433333350493
2025-05-30,9.49862410948299e-12
2025-05-31,5.966116489730666e-12
2025-06-01,2742.5031805840094
2025-06-02,2820.071217505343
2025-06-03,1667.7012170813432
2025-06-04,2318.6036195293473
2025-06-05,3626.290736020015
2025-06-06,4034.9973601133443
2025-06-07,2739.872941886676
2025-06-08,1276.9309190366835
2025-06-09,159.67501466667906
2025-06-10,49.669949000013
2025-06-11,42.385084000018466
2025-06-12,1.3679168908709016e-11
2025-06-13,1.102962166044108e-11
2025-06-14,1.115052494782276e-11
2025-06-15,46.05086233334614
2025-06-16,16.331713333343163
2025-06-17,85.7765240000161
2025-06-18,61.36723333334339
2025-06-19,112.57785200000927
2025-06-20,7.582934280492282e-12
2025-06-21,5.529396385206553e-12
2025-06-22,65.01943766668082
2025-06-23,23.729429000014434
2025-06-24,18.82476000001486
2025-06-25,14.14527866667991
2025-06-26,56.953753000011005
2025-06-27,6.3442584519179945e-12
2025-06-28,7.769340726326845e-12
2025-06-29,13.67115166668356
2025-06-30,95.30970000001304
2025-07-01,2282.656558493344
2025-07-02,2546.8060040455634
2025-07-03,4207.335927596678
2025-07-04,5510.348897444004
2025-07-05,4863.530223372007
2025-07-06,2966.235986125562
2025-07-07,3939.2931935040624
2025-07-08,799.1186567705099
2025-07-09,292.24920280934066
2025-07-10,327.0420565120074
2025-07-11,94.99116144934037
2025-07-12,793.6857360746749
2025-07-13,216.7740672666767
2025-07-14,257.1001464000075
2025-07-15,19.681410666674456
