日期,v1(D−1),v2(D−7),v3(典型日)
2025-02-01,0.0,0.0,1.0
2025-02-02,0.0,0.0,1.0
2025-02-03,0.05,0.0,0.9500000000000001
2025-02-04,0.065,0.06,0.8750000000000001
2025-02-05,0.10850000000000001,0.054,0.8375000000000001
2025-02-06,0.14765,0.0486,0.8037500000000002
2025-02-07,0.132885,0.10374,0.7633750000000002
2025-02-08,0.11959650000000001,0.10336600000000001,0.7770375000000002
2025-02-09,0.19763685000000003,0.10302940000000002,0.6993337500000002
2025-02-10,0.17787316500000003,0.13272646000000005,0.6894003750000002
2025-02-11,0.16008584850000002,0.12945381400000006,0.7104603375000001
2025-02-12,0.14407726365,0.16650843260000006,0.6894143037500002
2025-02-13,0.12966953728500002,0.15985758934000008,0.7104728733750002
2025-02-14,0.15670258355650002,0.16387183040600006,0.6794255860375003
2025-02-15,0.14103232520085002,0.21748464736540007,0.6414830274337503
2025-02-16,0.176929092680765,0.22573618262886008,0.5973347246903753
2025-02-17,0.15923618341268853,0.2231625643659741,0.6176012522213379
2025-02-18,0.16331256507141967,0.2008463079293767,0.6358411269992041
2025-02-19,0.15698130856427772,0.22076167713643904,0.6222570142992838
2025-02-20,0.15128317770784996,0.23868550942279515,0.6100313128693555
2025-02-21,0.13615485993706497,0.22481695848051564,0.6390281815824199
2025-02-22,0.12253937394335848,0.20233526263246407,0.675125363424178
2025-02-23,0.12028543654902263,0.22210173636921768,0.6576128270817602
2025-02-24,0.12825689289412037,0.23989156273229592,0.6318515443735842
2025-02-25,0.12543120360470833,0.2659024064590663,0.6086663899362258
2025-02-26,0.1128880832442375,0.2493121658131597,0.6377997509426032
2025-02-27,0.10159927491981376,0.27438094923184375,0.624019775848343
2025-02-28,0.09143934742783238,0.2869428543086594,0.6216177982635087
2025-03-01,0.09229541268504915,0.26824856887779347,0.6394560184371578
2025-03-02,0.09306587141654424,0.2514237119900141,0.655510416593442
2025-03-03,0.12375928427488983,0.23628134079101273,0.6399593749340978
2025-03-04,0.12138335584740084,0.21265320671191146,0.665963437440688
2025-03-05,0.11924502026266076,0.22138788604072032,0.6593670936966192
2025-03-06,0.1173205182363947,0.22924909743664829,0.6534303843269573
2025-03-07,0.13558846641275524,0.2563241876929835,0.6080873458942616
2025-03-08,0.12202961977147972,0.23069176892368515,0.6472786113048354
2025-03-09,0.13982665779433173,0.25762259203131666,0.6025507501743519
2025-03-10,0.12584399201489857,0.241860332828185,0.6322956751569166
2025-03-11,0.11325959281340872,0.21767429954536652,0.669066107641225
2025-03-12,0.10193363353206786,0.2159068695908299,0.6821594968771025
2025-03-13,0.12174027017886108,0.23431618263174692,0.6439435471893923
2025-03-14,0.11956624316097497,0.28088456436857223,0.5995491924704531
2025-03-15,0.11760961884487747,0.29279610793171507,0.5895942732234078
2025-03-16,0.12584865696038972,0.2635164971385436,0.6106348459010671
2025-03-17,0.14326379126435074,0.30716484742468925,0.5495713613109604
2025-03-18,0.12893741213791568,0.35644836268222035,0.5146142251798643
2025-03-19,0.11604367092412411,0.40080352641399836,0.48315280266187793
2025-03-20,0.11443930383171169,0.42072317377259855,0.4648375223956901
2025-03-21,0.14299537344854052,0.4186508563953387,0.4383537701561211
2025-03-22,0.14869583610368647,0.4467857707558049,0.404518393140509
2025-03-23,0.16382625249331784,0.4521071936802244,0.38406655382645816
2025-03-24,0.14744362724398605,0.47689647431220195,0.3756598984438123
2025-03-25,0.13269926451958744,0.4392068268809818,0.42809390859943114
2025-03-26,0.1294293380676287,0.4152861441928836,0.455284517739488
2025-03-27,0.14648640426086584,0.3737575297735953,0.4797560659655392
2025-03-28,0.13183776383477927,0.33638177679623577,0.5317804593689853
2025-03-29,0.14865398745130134,0.3227435991166122,0.5286024134320868
2025-03-30,0.14378858870617123,0.290469239204951,0.5657421720888781
2025-03-31,0.1294097298355541,0.2614223152844559,0.6091679548799903
2025-04-01,0.11646875685199869,0.25528008375601036,0.6282511593919913
2025-04-02,0.10482188116679882,0.23975207538040932,0.6554260434527921
2025-04-03,0.09433969305011894,0.22577686784236842,0.6798834391075129
2025-04-04,0.09490572374510706,0.2131991810581316,0.6918950951967617
2025-04-05,0.08541515137059635,0.20187926295231845,0.7127055856770855
2025-04-06,0.07687363623353673,0.19169133665708663,0.7314350271093769
2025-04-07,0.11918627261018305,0.19252220299137796,0.6882915243984392
2025-04-08,0.11726764534916476,0.18326998269224018,0.6994623719585953
2025-04-09,0.13554088081424828,0.17494298442301617,0.6895161347627359
2025-04-10,0.12198679273282345,0.21744868598071457,0.6605645212864624
2025-04-11,0.1097881134595411,0.2257038173826431,0.6645080691578161
2025-04-12,0.108809302113587,0.2331334356443788,0.6580572622420344
2025-04-13,0.11792837190222831,0.23982009207994093,0.642251536017831
2025-04-14,0.1261355347120055,0.23583808287194685,0.6380263824160479
2025-04-15,0.12352198124080496,0.2522542745847522,0.6242237441744432
2025-04-16,0.12116978311672447,0.25702884712627694,0.6218013697569988
2025-04-17,0.10905280480505203,0.28132596241364927,0.609621232781299
2025-04-18,0.10814752432454683,0.2931933661722843,0.5986591095031691
2025-04-19,0.09733277189209215,0.2938740295550559,0.6087931985528522
2025-04-20,0.09759949470288293,0.3044866265995504,0.5979138786975671
2025-04-21,0.08783954523259464,0.30403796393959537,0.6081224908278103
2025-04-22,0.08905559070933519,0.33363416754563585,0.5773102417450293
2025-04-23,0.08015003163840168,0.33027075079107227,0.5895792175705263
2025-04-24,0.1021350284745615,0.357243675711965,0.5406212958134737
2025-04-25,0.09192152562710536,0.3315193081407685,0.5765591662321263
2025-04-26,0.10272937306439482,0.3183673773266917,0.5789032496089137
2025-04-27,0.11245643575795534,0.29653063959402254,0.5910129246480224
2025-04-28,0.12121079218215981,0.3368775756346203,0.5419116321832201
2025-04-29,0.12908971296394384,0.32318981807115826,0.5477204689648981
2025-04-30,0.12618074166754945,0.3408708362640424,0.5329484220684083
2025-05-01,0.11356266750079451,0.3067837526376382,0.5796535798615675
2025-05-02,0.13220640075071505,0.2961053773738744,0.5716882218754108
2025-05-03,0.11898576067564355,0.30649483963648694,0.5745193996878697
2025-05-04,0.12708718460807922,0.29584535567283826,0.5770674597190828
2025-05-05,0.1143784661472713,0.26626082010555446,0.6193607137471745
2025-05-06,0.12294061953254418,0.26963473809499905,0.6074246423724571
2025-05-07,0.11064655757928976,0.25267126428549913,0.6366821781352113
2025-05-08,0.1095819018213608,0.2474041378569492,0.6430139603216901
2025-05-09,0.09862371163922472,0.26266372407125427,0.6387125642895211
2025-05-10,0.08876134047530225,0.2663973516641288,0.6448413078605689
2025-05-11,0.07988520642777203,0.2797576164977159,0.640357177074512
2025-05-12,0.07189668578499482,0.31178185484794435,0.6163214593670608
2025-05-13,0.07470701720649534,0.2906036693631499,0.6346893134303548
2025-05-14,0.07723631548584581,0.3015433024268349,0.6212203820873194
2025-05-15,0.07951268393726124,0.28138897218415143,0.6390983438785875
2025-05-16,0.09156141554353513,0.3032500749657363,0.6051885094907289
2025-05-17,0.09240527398918161,0.3129250674691627,0.5946696585416561
2025-05-18,0.13316474659026345,0.29163256072224647,0.5752026926874906
2025-05-19,0.1298482719312371,0.27246930465002184,0.5976824234187414
2025-05-20,0.1368634447381134,0.30522237418501963,0.5579141810768673
2025-05-21,0.15317710026430206,0.2947001367665177,0.5521227629691806
