日期,日内最低/kWh,日内最高/kWh
2025-06-23,1244.8355803312372,10800.0
2025-06-24,1200.0,10800.0
2025-06-25,1200.0,10800.0
2025-06-26,1265.47996709959,10800.0
2025-06-27,1517.5848473443903,10800.0
2025-06-28,1366.3291356188477,10800.0
2025-06-29,1200.1254676326855,10800.0
2025-06-30,1200.4852726083438,10800.0
2025-07-01,1200.8243879591448,10800.0
2025-07-02,1265.4210312539865,10800.0
2025-07-03,1228.7865411883615,10800.0
2025-07-04,1241.5325816692703,10800.0
2025-07-05,1415.6474444444443,10800.0
2025-07-06,1200.6773370851135,10800.0
2025-07-07,1225.061542661116,10800.0
2025-07-08,1200.6495320138304,10800.0
2025-07-09,1200.618560541345,10800.0
2025-07-10,1200.540547079919,10800.0
2025-07-11,1432.7671111111092,10800.0
2025-07-12,1345.7959629629604,10800.0
2025-07-13,1200.485468185176,10800.0
2025-07-14,1200.4011486081847,10800.0
2025-07-15,1200.441358608003,10800.0
2025-07-16,1322.9565317065208,10800.0
2025-07-17,1200.25862514102,10800.0
2025-07-18,1456.6982402936728,10800.0
2025-07-19,1364.4942777777756,10800.0
2025-07-20,1200.2309780002554,10800.0
2025-07-21,1200.1363296555176,10800.0
2025-07-22,1247.313026729333,10800.0
2025-07-23,1200.1172878063637,10800.0
2025-07-24,1200.0094993122168,10800.0
2025-07-25,1261.8742654860152,10800.0
2025-07-26,1285.590824467277,10800.0
2025-07-27,1200.0,10800.0
2025-07-28,1200.0,10800.0
2025-07-29,1200.0,10800.0
2025-07-30,1200.209909842719,10800.0
2025-07-31,1200.357833665461,10800.0
2025-08-01,1406.4136596537674,10800.0
2025-08-02,1366.4795120369004,10800.0
2025-08-03,1200.6564805354187,10800.0
2025-08-04,1200.3571517124446,10800.0
2025-08-05,1200.267142914274,10800.0
2025-08-06,1200.3228817246436,10800.0
2025-08-07,1200.2363748754208,10800.0
2025-08-08,1347.6126441394426,10800.0
2025-08-09,1253.691819472286,10800.0
2025-08-10,1200.0905441539455,10800.0
2025-08-11,1200.0810666099171,10800.0
2025-08-12,1200.0,10800.0
2025-08-13,1200.0,10800.0
2025-08-14,1235.260896634588,10800.0
2025-08-15,1232.8493989416913,10800.0
2025-08-16,1296.3763031056092,10800.0
2025-08-17,1200.0313350942226,10800.0
2025-08-18,1244.969932926236,10800.0
2025-08-19,1216.3353875977848,10800.0
2025-08-20,1200.0,10800.0
2025-08-21,1200.503813188406,10800.0
2025-08-22,1273.2480029752264,10800.0
2025-08-23,1263.1301889929532,10800.0
2025-08-24,1200.0,10800.0
2025-08-25,1200.0,10800.0
2025-08-26,1239.9234467422768,10800.0
2025-08-27,1200.0,10800.0
2025-08-28,1200.0,10800.0
2025-08-29,1230.3462608084983,10800.0
2025-08-30,1228.612631509612,10800.0
2025-08-31,1204.0717808825714,10800.0
2025-09-01,1201.9139959502536,10800.0
2025-09-02,1200.0,10800.0
2025-09-03,1200.0,10800.0
2025-09-04,1204.1637872263382,10800.0
2025-09-05,1207.9910540733158,10800.0
2025-09-06,1200.0,10800.0
2025-09-07,1200.0,10800.0
2025-09-08,1200.0,10800.0
2025-09-09,1200.0,10800.0
2025-09-10,1200.0,10800.0
2025-09-11,1200.0,10800.0
2025-09-12,1200.0,10800.0
2025-09-13,1200.0,10800.0
2025-09-14,1200.0,10800.0
2025-09-15,1200.0,10794.161869551603
2025-09-16,1200.0,10800.0
2025-09-17,1200.0,10800.0
2025-09-18,1200.0,10800.0
2025-09-19,1200.0,10800.0
2025-09-20,1200.0,10800.0
2025-09-21,1200.0,10800.0
2025-09-22,1200.0,10800.0
2025-09-23,1200.0,10800.0
2025-09-24,1200.0,10800.0
2025-09-25,1200.0,10800.0
2025-09-26,1200.0,10800.0
2025-09-27,1200.0,10800.0
2025-09-28,1200.0,10792.847973584097
2025-09-29,1200.0,10800.0
2025-09-30,1200.0,10800.0
2025-10-01,1200.0,10800.0
2025-10-02,1200.0,10800.0
2025-10-03,1200.0,10800.0
2025-10-04,1200.0,10800.0
2025-10-05,1200.0,10800.0
2025-10-06,1200.0,10795.413057587804
2025-10-07,1200.0,10800.0
2025-10-08,1200.0,10799.247325791028
2025-10-09,1200.0,10800.0
2025-10-10,1200.0,10800.0
2025-10-11,1200.0,10800.0
2025-10-12,1200.0,10796.335510844023
2025-10-13,1200.0,10799.915019728958
2025-10-14,1200.0,10800.0
2025-10-15,1200.0,10800.0
2025-10-16,1200.0,10796.197655829686
2025-10-17,1200.0,10800.0
2025-10-18,1200.0,10800.0
2025-10-19,1200.0,10797.255770751159
2025-10-20,1200.0,10800.0
2025-10-21,1200.0,10800.0
2025-10-22,1200.0,10800.0
2025-10-23,1200.0,10800.0
2025-10-24,1200.0,10800.0
2025-10-25,1200.0,10422.706373872272
2025-10-26,1200.0,10800.0
2025-10-27,1200.0,10800.0
2025-10-28,1200.0,10800.0
2025-10-29,1200.0,10797.84731989177
2025-10-30,1200.0,10798.056846623722
2025-10-31,1200.0,9989.440025891314
2025-11-01,1200.0,10444.947028365816
2025-11-02,1200.0,10800.0
2025-11-03,1200.0,10800.0
2025-11-04,1200.0,10800.0
2025-11-05,1200.0,10800.0
2025-11-06,1200.0,10800.0
2025-11-07,1200.0,10800.0
2025-11-08,1200.0,10665.060416281542
2025-11-09,1200.0,10798.68569622439
2025-11-10,1200.0,10798.81695943777
2025-11-11,1200.0,10800.0
2025-11-12,1200.0,10799.042015662906
2025-11-13,1200.0,10799.138252774044
2025-11-14,1200.0,10800.0
2025-11-15,1200.0,10800.0
2025-11-16,1200.0,10800.0
2025-11-17,1200.0,10800.0
2025-11-18,1200.0,10798.082230562017
2025-11-19,1200.0,10800.0
2025-11-20,1200.0,10798.446648855092
2025-11-21,1200.0,10800.0
2025-11-22,1200.0,10800.0
2025-11-23,1200.0,10800.0
2025-11-24,1200.0,10798.392278563306
2025-11-25,1200.0,10800.0
2025-11-26,1200.0,10800.0
2025-11-27,1200.0,10798.827546118473
