滞后_小时,ACF
0.16666666666666666,0.9643434898350696
0.3333333333333333,0.901968216021197
0.5,0.8563862241837024
0.6666666666666666,0.8149701170732299
0.8333333333333334,0.7705500488141395
1.0,0.7246651294312566
1.1666666666666667,0.6725269186296621
1.3333333333333333,0.6172794439804249
1.5,0.5642635374852215
1.6666666666666667,0.5119603380646336
1.8333333333333333,0.4588826258960745
2.0,0.4076466468386886
2.1666666666666665,0.35993529413785114
2.3333333333333335,0.31377152016231846
2.5,0.26850558446787576
2.6666666666666665,0.22283942516230842
2.8333333333333335,0.17460455582005557
3.0,0.13344601900893027
3.1666666666666665,0.1092592232036074
3.3333333333333335,0.09244939731497887
3.5,0.07270623786391009
3.6666666666666665,0.05295138239305302
3.8333333333333335,0.035977261156530514
4.0,0.01845028697086187
4.166666666666667,-0.0022177960949113563
4.333333333333333,-0.023705757982836653
4.5,-0.0434259153875635
4.666666666666667,-0.06122268644230397
4.833333333333333,-0.07723191018400213
5.0,-0.09188050849366915
5.166666666666667,-0.10552213416230352
5.333333333333333,-0.11763842235680856
5.5,-0.12834603578627712
5.666666666666667,-0.13667000747439567
5.833333333333333,-0.14124011515574567
6.0,-0.14797936257137725
6.166666666666667,-0.16278013910320133
6.333333333333333,-0.17992486331932409
6.5,-0.1937181331270411
6.666666666666667,-0.2056104123227231
6.833333333333333,-0.21671510395435795
7.0,-0.22796488281282917
7.166666666666667,-0.24110505479961694
7.333333333333333,-0.2549252647886277
7.5,-0.2669191590820755
7.666666666666667,-0.2795305578135474
7.833333333333333,-0.2953452516900895
8.0,-0.303301790611976
8.166666666666666,-0.29373444101503804
8.333333333333334,-0.2776397391547724
8.5,-0.26434608259987086
8.666666666666666,-0.25375021014813626
8.833333333333334,-0.24703262539547297
9.0,-0.23151520569083062
9.166666666666666,-0.193923712015294
9.333333333333334,-0.14800296474650915
9.5,-0.10804035590044471
9.666666666666666,-0.07050139767973253
9.833333333333334,-0.03277706301767366
10.0,0.0021266652783800103
10.166666666666666,0.033085656594663775
10.333333333333334,0.061526210015836344
10.5,0.08809186978093911
10.666666666666666,0.11247209576528538
10.833333333333334,0.13484468001759273
11.0,0.15453514091272744
11.166666666666666,0.17060132830774005
11.333333333333334,0.1836965330234941
11.5,0.1943105770993772
11.666666666666666,0.20264457526920437
11.833333333333334,0.2092183667206934
12.0,0.2118077893721989
12.166666666666666,0.2080417873743384
12.333333333333334,0.20015757699289177
12.5,0.19043854603370025
12.666666666666666,0.1785115682458513
12.833333333333334,0.16419927697529993
13.0,0.14694688186093255
13.166666666666666,0.12608568643656243
13.333333333333334,0.10260485810016533
13.5,0.07711670650426
13.666666666666666,0.04943513645897844
13.833333333333334,0.02003144388484051
14.0,-0.011824657158651393
14.166666666666666,-0.047801475681572766
14.333333333333334,-0.08670205836257133
14.5,-0.1253558126514991
14.666666666666666,-0.1663905759363806
14.833333333333334,-0.21341491013378566
15.0,-0.25214385664773364
15.166666666666666,-0.26880747666107924
15.333333333333334,-0.27668265996299807
15.5,-0.28836906417181013
15.666666666666666,-0.3026789668066523
15.833333333333334,-0.31986257471934243
16.0,-0.3304750698254798
16.166666666666668,-0.3233074401182098
16.333333333333332,-0.30820078832091446
16.5,-0.29637269166589875
16.666666666666668,-0.28515697071539725
16.833333333333332,-0.2721158352487415
17.0,-0.25986354252912014
17.166666666666668,-0.24965378598803603
17.333333333333332,-0.23962795649184612
17.5,-0.22866286610457337
17.666666666666668,-0.2157817597784768
17.833333333333332,-0.1998473363780472
18.0,-0.18607984318092138
18.166666666666668,-0.17965855036632747
18.333333333333332,-0.1753020159924139
18.5,-0.16754228526545395
18.666666666666668,-0.1573588864634943
18.833333333333332,-0.1455574169417764
19.0,-0.1323134232584974
19.166666666666668,-0.1183058381076432
19.333333333333332,-0.1029419417912804
19.5,-0.08559711977043478
19.666666666666668,-0.06628847638170943
19.833333333333332,-0.045363845725469434
20.0,-0.025306993634442984
20.166666666666668,-0.008292503165339587
20.333333333333332,0.00815258033990787
20.5,0.02733987875726047
20.666666666666668,0.04662220793464717
20.833333333333332,0.0629911041818021
21.0,0.08657874376967668
21.166666666666668,0.12702238761960255
