x,y1,y2,y3,y4,y5
0.08333333333333333,3439.8466,0.0,8439.846599999999,0.0,5000.0
0.25,3437.9792,0.0,8437.979199999998,0.0,5000.0
0.4166666666666667,3444.3031,0.0,8444.3031,0.0,5000.0
0.5833333333333334,3454.4437,0.0,8454.4437,0.0,5000.0
0.75,3458.8273,0.0,8458.827299999999,0.0,5000.0
0.9166666666666666,3459.8401,0.0,3459.8400999999994,0.0,0.0
1.0833333333333333,3467.1582,0.0,3467.1582,0.0,0.0
1.25,3467.9632,0.0,3467.9632,0.0,0.0
1.4166666666666667,3466.9683,0.0,5466.9683,0.0,2000.0
1.5833333333333333,3482.4927,0.0,3482.4927,0.0,0.0
1.75,3495.0841,0.0,3495.0841,0.0,0.0
1.9166666666666667,3498.4443,0.0,3498.4443,0.0,0.0
2.0833333333333335,3505.2295,0.0,3505.2295000000004,0.0,0.0
2.25,3512.6387,0.0,3512.6387000000004,0.0,0.0
2.4166666666666665,3516.8685,0.0,3516.8685000000005,0.0,0.0
2.5833333333333335,3517.9246,0.0,3517.9245999999994,0.0,0.0
2.75,3518.5518,0.0,3518.5518,0.0,0.0
2.9166666666666665,3521.0976,0.0,3521.0976,0.0,0.0
3.0833333333333335,3526.9261,0.0,3526.9260999999997,0.0,0.0
3.25,3537.2854,0.0,3537.2854000000007,0.0,0.0
3.4166666666666665,3544.8808,0.0,3544.8808,0.0,0.0
3.5833333333333335,3541.2787,0.0,3541.2787,0.0,0.0
3.75,3546.3976,0.0,3546.3975999999993,0.0,0.0
3.9166666666666665,3560.207,0.0,3560.2070000000003,0.0,0.0
4.083333333333333,3561.9581,0.0,3561.9581,0.0,0.0
4.25,3556.7183,0.0,3556.7183,0.0,0.0
4.416666666666667,3560.0272,0.0,3560.0271999999995,0.0,0.0
4.583333333333333,3580.654,0.5994,3580.0545999999995,0.0,0.0
4.75,3586.916,0.2345,3586.6815,0.0,0.0
4.916666666666667,3571.2635,0.2885,3570.9750000000004,0.0,0.0
5.083333333333333,3562.3171,18.6781,3543.639,0.0,0.0
5.25,3591.3809,54.4698,3536.9111000000003,0.0,0.0
5.416666666666667,3579.7045,108.9718,3470.7326999999996,0.0,0.0
5.583333333333333,3486.119,184.1603,8301.9587,0.0,5000.0
5.75,3823.8994,277.0582,3546.8412,-0.0,0.0
5.916666666666667,4398.0727,388.5494,0.0,4009.5233,0.0
6.083333333333333,4454.0123,521.2803,0.0,3932.732000000001,0.0
6.25,4371.7919,672.7677,0.0,3699.0242000000003,0.0
6.416666666666667,4392.953,844.2261,0.0,3548.7269000000006,0.0
6.583333333333333,4384.5956,1039.6744,0.0,3344.921199999999,0.0
6.75,4434.7757,1259.3375,0.0,3175.4381999999996,0.0
6.916666666666667,4523.4561,1508.6318,0.0,3014.8243,0.0
7.083333333333333,4524.0721,1791.4107,0.0,2732.6614,0.0
7.25,4545.8867,2085.4865,0.0,2460.4002,0.0
7.416666666666667,4523.2418,2381.2611,0.0,2141.980699999999,0.0
7.583333333333333,4383.3566,2683.1752,0.0,1700.1814,0.0
7.75,4910.4599,2986.3552,0.0,1924.1047,0.0
7.916666666666667,5799.7327,3289.204,0.0,2510.528699999999,0.0
8.083333333333334,5884.826,3593.3613,0.0,2291.4647000000004,0.0
8.25,5748.0713,3890.7332,0.0,1857.338099999999,0.0
8.416666666666666,5769.0581,4181.3417,0.0,1587.7164000000002,0.0
8.583333333333334,5754.2105,4471.7657,0.0,1282.4448000000002,0.0
8.75,5824.1807,4752.8272,0.0,1071.3535000000004,0.0
8.916666666666666,5954.2601,5021.9074,0.0,932.3527000000006,0.0
9.083333333333334,5958.9696,5285.4126,0.0,673.5570000000007,0.0
9.25,5929.5554,5543.1742,0.0,386.3811999999996,0.0
9.416666666666666,5923.7828,5788.4093,0.0,135.3734999999997,0.0
9.583333333333334,5907.586,6012.1304,0.0,0.0,104.54440000000022
9.75,5899.1262,6216.1528,0.0,0.0,317.0266000000006
9.916666666666666,5902.2196,6409.5941,0.0,0.0,507.3744999999992
10.083333333333334,5897.4793,6599.3808,0.0,0.0,701.9014999999997
10.25,5886.7568,6766.7204,0.0,0.0,879.9636000000003
10.416666666666666,5873.4708,6914.5923,0.0,0.0,1041.1215000000009
10.583333333333334,5858.0308,7064.2053,0.0,0.0,1206.1744999999994
10.75,5844.9948,7197.4315,0.0,0.0,1352.4366999999986
10.916666666666666,5839.0587,7303.1142,0.0,0.0,1464.0555000000004
11.083333333333334,5838.7103,7387.6848,3451.0254999999997,0.0,5000.0
11.25,5823.4378,7459.227,0.0,0.0,1635.7892000000006
11.416666666666666,5814.7932,7520.7191,0.0,0.0,1705.9258999999997
11.583333333333334,5832.3951,7568.2039,1075.663028395078,0.0,2811.471828395079
11.75,5712.901,7592.1539,3120.7470999999996,0.0,5000.0
11.916666666666666,5519.4607,7601.0433,2918.4173999999985,0.0,5000.0
12.083333333333334,5494.7907,7612.316,2882.4746999999998,0.0,5000.0
12.25,5514.4524,7602.6524,2911.8,0.0,5000.0
12.416666666666666,5485.829,7554.1872,2931.6417999999985,0.0,5000.0
12.583333333333334,5462.3628,7472.7384,2989.624399999999,0.0,5000.0
12.75,5566.1066,7393.4172,0.0,0.0,1827.3106000000002
12.916666666666666,5725.7548,7312.7979,0.0,0.0,1587.0430999999996
13.083333333333334,5739.4957,7194.541,0.0,0.0,1455.0452999999995
13.25,5714.6836,7053.1371,0.0,0.0,1338.4535000000003
13.416666666666666,5717.8505,6910.4064,0.0,0.0,1192.5559000000007
13.583333333333334,5708.2486,6772.4075,0.0,0.0,1064.1589000000001
