配置,总费用/万元,族
"W7 仿射裕度 a=0.5, b=150.0",1419.6,裕度
"W7 仿射裕度 a=0.75, b=50.0",1419.3,裕度
"W7 仿射裕度 a=0.75, b=100.0",1420.0,裕度
"W7 仿射裕度 a=0.75, b=150.0",1423.5,裕度
"W7 仿射裕度 a=1.0, b=50.0",1420.8,裕度
"W7 仿射裕度 a=1.0, b=100.0",1424.6,裕度
"W7 仿射裕度 a=1.0, b=150.0",1430.4,裕度
"W7 仿射裕度 a=1.25, b=50.0",1426.2,裕度
"W7 仿射裕度 a=1.25, b=100.0",1432.0,裕度
"W7 仿射裕度 a=1.25, b=150.0",1439.7,裕度
"W7 风险 λ=0.25, W=7",1468.6,风险/收缩
"W7 风险 λ=0.25, W=21",1466.3,风险/收缩
"W7 风险 λ=0.25, W=30",1462.3,风险/收缩
"W7 风险 λ=0.5, W=7",1467.7,风险/收缩
"W7 风险 λ=0.5, W=21",1468.5,风险/收缩
"W7 风险 λ=0.5, W=30",1464.8,风险/收缩
"W7 风险 λ=0.75, W=7",1473.9,风险/收缩
"W7 风险 λ=0.75, W=21",1471.7,风险/收缩
"W7 风险 λ=0.75, W=30",1471.4,风险/收缩
"W7 风险 λ=1.0, W=7",1483.3,风险/收缩
"W7 风险 λ=1.0, W=21",1485.5,风险/收缩
"W7 风险 λ=1.0, W=30",1472.5,风险/收缩
W7 收缩 α=0.05,1473.9,风险/收缩
W7 收缩 α=0.1,1483.1,风险/收缩
W7 收缩 α=0.2,1509.5,风险/收缩
W7 收缩 α=0.35,1558.5,风险/收缩
"W30 风险 λ=0.25, W=7",1468.6,风险/收缩
"W30 风险 λ=0.25, W=21",1466.3,风险/收缩
"W30 风险 λ=0.25, W=30",1462.3,风险/收缩
"W30 风险 λ=0.5, W=7",1467.7,风险/收缩
"W30 风险 λ=0.5, W=21",1468.5,风险/收缩
"W30 风险 λ=0.5, W=30",1464.8,风险/收缩
"W30 风险 λ=0.75, W=7",1473.9,风险/收缩
"W30 风险 λ=0.75, W=21",1471.7,风险/收缩
"W30 风险 λ=0.75, W=30",1471.4,风险/收缩
"W30 风险 λ=1.0, W=7",1483.3,风险/收缩
"W30 风险 λ=1.0, W=21",1485.5,风险/收缩
"W30 风险 λ=1.0, W=30",1472.5,风险/收缩
W30 收缩 α=0.05,1468.8,风险/收缩
W30 收缩 α=0.1,1476.6,风险/收缩
W30 收缩 α=0.2,1499.2,风险/收缩
W30 收缩 α=0.35,1544.2,风险/收缩
"EWMA h=5 风险 λ=0.25, W=7",1468.6,风险/收缩
"EWMA h=5 风险 λ=0.25, W=21",1466.3,风险/收缩
"EWMA h=5 风险 λ=0.25, W=30",1462.3,风险/收缩
"EWMA h=5 风险 λ=0.5, W=7",1467.7,风险/收缩
"EWMA h=5 风险 λ=0.5, W=21",1468.5,风险/收缩
"EWMA h=5 风险 λ=0.5, W=30",1464.8,风险/收缩
"EWMA h=5 风险 λ=0.75, W=7",1473.9,风险/收缩
"EWMA h=5 风险 λ=0.75, W=21",1471.7,风险/收缩
"EWMA h=5 风险 λ=0.75, W=30",1471.4,风险/收缩
"EWMA h=5 风险 λ=1.0, W=7",1483.3,风险/收缩
"EWMA h=5 风险 λ=1.0, W=21",1485.5,风险/收缩
"EWMA h=5 风险 λ=1.0, W=30",1472.5,风险/收缩
EWMA h=5 收缩 α=0.05,1465.9,风险/收缩
EWMA h=5 收缩 α=0.1,1474.4,风险/收缩
EWMA h=5 收缩 α=0.2,1499.0,风险/收缩
EWMA h=5 收缩 α=0.35,1548.2,风险/收缩
W7 κ=1.015,1420.0,精扫
W7 κ=1.02,1413.0,精扫
W7 κ=1.025,1410.2,精扫
W7 κ=1.03,1410.5,精扫
W7 κ=1.035,1412.9,精扫
W7 κ=1.04,1417.1,精扫
