日期,紧急购电量/kWh
2025-02-01,8.174794174919953e-12
2025-02-02,9.768186259861977e-12
2025-02-03,12.123166666678934
2025-02-04,1.3843148849446152e-11
2025-02-05,1.1334932992212998e-11
2025-02-06,1.2580381181237499e-11
2025-02-07,1.156141848923653e-11
2025-02-08,1.425792817144611e-11
2025-02-09,1.2430501072913103e-11
2025-02-10,1.538325022920617e-11
2025-02-11,9.651612842276336e-12
2025-02-12,41.526536066683256
2025-02-13,8.661127370857002e-12
2025-02-14,1.5372036976657455e-11
2025-02-15,1.6644866041026773e-11
2025-02-16,80.38146666669479
2025-02-17,23.75683333335359
2025-02-18,2.9798363889045376
2025-02-19,118.61357333334813
2025-02-20,86.41250000001494
2025-02-21,1.590266807127705e-11
2025-02-22,1.5022871835412843e-11
2025-02-23,1.922595416203876e-11
2025-02-24,41.80094134445919
2025-02-25,66.00674666668351
2025-02-26,1.9892532066023705e-11
2025-02-27,136.13560663423678
2025-02-28,1.4668266601347568e-11
2025-03-01,1.4664269798458918e-11
2025-03-02,2.4867219394764106e-11
2025-03-03,1.85820803189074e-11
2025-03-04,1.6406431768700713e-11
2025-03-05,3.3316333333487904
2025-03-06,1.5828338639778394e-11
2025-03-07,1.2856382625159313e-11
2025-03-08,1.15292220215224e-11
2025-03-09,1.3791717767830391e-11
2025-03-10,1.6141976644235e-11
2025-03-11,1.837019425465769e-11
2025-03-12,1.4700241024456773e-11
2025-03-13,1.2081002864761103e-11
2025-03-14,1.173483532568298e-11
2025-03-15,5.942877730013272
2025-03-16,1.640000000020924
2025-03-17,1.5654144647214707e-11
2025-03-18,80.50840233778973
2025-03-19,1.859179477037287e-11
2025-03-20,10.071506000013434
2025-03-21,126.62112636734206
2025-03-22,1.2368439605836556e-11
2025-03-23,1.155608941871833e-11
2025-03-24,1.5919765505856276e-11
2025-03-25,1.113864556145927e-11
2025-03-26,1.2187140185915268e-11
2025-03-27,1.5127454844332533e-11
2025-03-28,5.937472735695337e-12
2025-03-29,1.2788436976052253e-11
2025-03-30,1.9470647316666145e-11
2025-03-31,1.6982859563086095e-11
2025-04-01,1.7503776206240218e-11
2025-04-02,1.548840222742598e-11
2025-04-03,1.2139622640461312e-11
2025-04-04,9.822254121161222e-12
2025-04-05,1.1898926288722578e-11
2025-04-06,7.912226429596103e-12
2025-04-07,1.699640428398652e-11
2025-04-08,1.4535150860695012e-11
2025-04-09,1.800930932160938e-11
2025-04-10,1.3431034062705294e-11
2025-04-11,8.505363080502093e-12
2025-04-12,1.1856404746879434e-11
2025-04-13,1.9801049688794592e-11
2025-04-14,2.0022650204509773e-11
2025-04-15,1.3451906255568247e-11
2025-04-16,1.3381740160411937e-11
2025-04-17,1.6627477172903582e-11
2025-04-18,9.008460644110983e-12
2025-04-19,7.420730696594546e-12
2025-04-20,1.610267474916327e-11
2025-04-21,1.7486789793963453e-11
2025-04-22,2.049560521300009e-11
2025-04-23,1.3564704914870163e-11
2025-04-24,1.623393086624958e-11
2025-04-25,9.722500582398652e-12
2025-04-26,1.1653789044885343e-11
2025-04-27,1.844346897428295e-11
2025-04-28,2.036415480688447e-11
2025-04-29,1.1490253193358058e-11
2025-04-30,1.5284662424619455e-11
2025-05-01,1886.4104292600155
2025-05-02,1117.290977266679
2025-05-03,171.1714367220085
2025-05-04,1570.4571350853541
2025-05-05,1024.9356684613476
2025-05-06,1699.8534651293442
2025-05-07,1408.2802481240124
2025-05-08,82.43748333335185
2025-05-09,9.57367518594765e-12
2025-05-10,1.0697887020683083e-11
2025-05-11,40.275698360016776
2025-05-12,1.20561338690095e-11
2025-05-13,1.3103296225835948e-11
2025-05-14,1.6088241849843143e-11
2025-05-15,1.4403589432276931e-11
2025-05-16,7.37587768639969e-12
2025-05-17,1.0909856351659641e-11
2025-05-18,5.236666666681899
2025-05-19,79.23650000000976
2025-05-20,1.6854961870649277e-11
2025-05-21,1.3528983489052848e-11
