时刻/h,负荷实际,负荷_E,负荷_ARIMA,光伏实际,光伏_E,光伏_ARIMA
0.08333333333333333,3087.9838,3292.220699671815,2875.7053492839673,0.0,0.0,0.0
0.25,3200.0919,3247.762000358671,2801.2476361194044,0.0,0.0,0.0
0.4166666666666667,3401.46,3135.4200009952633,2804.243093727577,0.0,0.0,0.0
0.5833333333333334,3063.5261,3144.8943007138296,2852.4017851238577,0.0,0.0,0.0
0.75,2820.2572,3189.356600461899,2788.305579514962,0.0,0.0,0.0
0.9166666666666666,2883.38,3191.8600006081274,2770.4753138987335,0.0,0.0,0.0
1.0833333333333333,2869.9796,3141.3129007204084,3016.8886380051385,0.0,0.0,0.0
1.25,2985.8287,2978.290601246629,3119.2908844977687,0.0,0.0,0.0
1.4166666666666667,3164.18,2859.960001699845,2993.281485071996,0.0,0.0,0.0
1.5833333333333333,3064.8457,2991.416901266407,3086.9646239824024,0.0,0.0,0.0
1.75,2954.0459,2886.449002299025,3014.8744248344124,0.0,0.0,0.0
1.9166666666666667,2994.62,2684.5800035968955,2731.2729721710284,0.0,0.0,0.0
2.0833333333333335,3072.4014,2981.874001627415,2755.6789776897904,0.0,0.0,0.0
2.25,3013.1015,3040.3061007252554,2801.170268273053,0.0,0.0,0.0
2.4166666666666665,2838.75,2782.61000184384,2903.508292630848,0.0,0.0,0.0
2.5833333333333335,2749.9199,2861.403401694496,2901.8128883800327,0.0,0.0,0.0
2.75,2820.5847,2863.288801524731,2873.1803950257104,0.0,0.0,0.0
2.9166666666666665,2936.24,2706.7400019713073,2800.5389214572424,0.0,0.0,0.0
3.0833333333333335,2920.1894,2767.5101021125984,2818.178328696067,0.0012,0.0015999999947923468,0.00015801932808067267
3.25,2951.0328,2826.583502006211,2907.8826619756423,0.0,0.0,4.118024413695904e-05
3.4166666666666665,2977.51,2821.3800018936176,2930.4236241994195,0.0,0.0,0.0
3.5833333333333335,2780.298,2923.5020018103733,3048.265731083862,0.0162,0.022099999928735663,0.021128463859178825
3.75,2728.3059,2996.68770135598,3057.5224588150627,0.0,0.0,8.288788146112373e-05
3.9166666666666665,2862.19,2885.80000149027,2977.4465027809742,0.0,0.0,0.0
4.083333333333333,2845.9182,2608.6737033776853,2995.9241836546967,0.2263,0.3078999990055924,0.29663281701041355
4.25,2748.951,2602.25340335607,2970.5705503704007,0.0,0.0,0.0012150640947694545
4.416666666666667,2677.31,2799.890001745051,2910.388350302558,0.0,0.0,0.0
4.583333333333333,2660.8713,2720.846302436363,2882.0556432701105,3.1516,4.28809998779569,4.084113583616319
4.75,2702.3205,2641.2198029493825,2828.423367478344,0.0,6.430431296362004e-10,0.01773137758384169
4.916666666666667,2732.32,2632.7400027363583,2792.3290881085404,7.275,8.737499973755682,9.568554441539142
5.083333333333333,2664.7178,2502.5390036953318,2490.2281564631267,116.7655,152.89949957645007,157.1270091186082
5.25,2606.871,2578.8036033406693,2669.872902099434,263.9703,339.8185991706394,348.52648310643684
5.416666666666667,2642.15,2833.560001822963,3014.470414039641,417.075,525.2624988751631,522.5450733222215
5.583333333333333,2745.0641,2871.5102021650537,2876.640614518591,587.5961,736.528798493823,742.9320221465453
5.75,2758.042,2789.432803776603,2816.785212316103,735.8325,959.2790980298789,932.6182505534856
5.916666666666667,2741.64,2768.8800047556924,3046.6704740219047,890.7,1180.0499975489615,1129.4156994518562
6.083333333333333,2888.7304,2863.8437039135765,3156.9958834726694,1136.9554,1397.0576971034475,1311.9913477413104
6.25,2932.231,2808.614604206278,3137.3078210118865,1453.4028,1606.615096690014,1472.6755959684438
6.416666666666667,2764.02,2621.690005642019,3109.0107781941265,1765.9125,1807.1999964994147,1630.7621558394367
6.583333333333333,2606.6137,2617.4370052774148,3189.8063860759084,2022.3026,2000.3547968183861,1882.2159490553381
6.75,2867.7649,2834.3885042597535,3439.666594976207,2350.4923,2192.9588974709873,2164.2663858175947
6.916666666666667,3304.27,3131.1100035521313,3693.68246550223,2699.25,2488.162497535998,2465.000764930346
7.083333333333333,3254.3169,3294.7013030877706,3688.391108368321,2874.6231,2986.6861961471163,2790.9706828835856
7.25,3137.5948,3261.0929036064017,3663.5142801177008,3006.0287,3412.6443950947696,3038.4462212489625
7.416666666666667,3174.85,3155.750004317053,3681.945914497589,3224.8875,3690.2624949381952,3221.5488969432236
7.583333333333333,3159.7263,3173.0118037841157,3695.6105165371355,3537.527,3974.937194729232,3484.361976834304
7.75,3087.5763,3186.3298047967037,3824.6803535687404,3785.3986,4172.056395087596,3748.6913936700225
7.916666666666667,3062.36,3174.3100071008976,4335.484305438898,4003.425,4269.82499609928,3958.8656252067717
8.083333333333334,3162.0197,3235.640407454355,4377.216627073609,4334.7324,4385.388196966747,4172.687779956034
8.25,3160.9922,3211.711907073859,4355.125180100456,4441.8035,4557.50399716592,4385.696879657517
8.416666666666666,3037.59,3117.0300069530576,4345.803319062828,4358.7,4806.112496727652,4580.523594913427
8.583333333333334,3030.9974,3160.411006824885,4201.235866331823,4479.895,5092.022396358253,4789.022142757465
8.75,3289.939,3366.9129068866787,4340.495052156496,4668.5166,5152.477197441487,4960.658954127381
8.916666666666666,3650.62,3644.160006889086,4727.375546235788,4746.075,5183.099998800773,5109.678602960512
9.083333333333334,3785.9011,3852.5107062412258,4850.072809493409,4746.9534,5602.42469810568,5383.753588705236
9.25,3849.6183,3939.404705311602,4807.333810575926,5139.4381,5705.743999079343,5592.577861579131
9.416666666666666,3824.6,3890.660005022228,4763.2065105911715,5794.3125,5464.2375017803415,5704.479690167913
9.583333333333334,3582.3586,3743.0588060174305,4737.461619317144,6109.068,5592.3571022723,5912.0501280542885
9.75,3687.9447,3668.9743066625233,4737.569075570924,6385.1018,5934.880201439424,6034.96446790214
9.916666666666666,4000.14,3763.8400061370617,4742.806836333292,6643.5375,6259.500000720988,6110.7856327417785
10.083333333333334,3826.1041,3940.9272052145834,4753.678024774064,6589.8893,6487.372400737137,6347.142927114178
10.25,3761.4976,3851.4805054030307,4662.440942130981,6695.6004,6558.85710161608,6530.148562288084
10.416666666666666,3901.91,3627.760006285499,4560.514290839946,7000.9875,6622.012502354037,6596.861353767353
10.583333333333334,3726.7535,3731.90480607158,4665.15439526567,7093.8409,6889.234801742048,6702.384959973995
10.75,3565.5609,3783.4133058111274,4780.609877344924,7243.1188,7030.315901704,6839.162680552849
10.916666666666666,3679.21,3618.9200064100532,4739.213956084373,7400.1,6992.850002373209,6919.023000656203
11.083333333333334,3945.6166,3481.8240074861915,4637.897330249727,7306.5816,7042.900601953423,6904.498449239917
11.25,3900.6403,3500.781807137825,4595.985400647765,7782.8954,7067.475501214115,6843.3271694905725
11.416666666666666,3645.76,3619.720005931168,4661.641533612801,8490.225,7078.80000032524,6742.267895995105
11.583333333333334,3705.1427,3676.5508062088984,4680.8025649197325,8180.7164,7189.04399895722,6692.418587485693
11.75,3724.3133,3689.012706180343,4591.062204785324,7677.6706,7033.884099712244,6663.774072531873
11.916666666666666,3631.08,3693.5300055731013,4511.124203523558,7665.1125,6626.212502582644,6630.5075814565125
12.083333333333334,3735.5415,3700.289905892443,4543.808107561684,8044.2631,6414.552404590284,6635.942960992192
12.25,3852.2352,3725.1955055286026,4455.9430499199225,8300.9755,6580.735304377673,6734.35907721815
12.416666666666666,3928.56,3761.520004465395,4318.845893144279,8383.0125,6916.125002747607,6796.218312060426
12.583333333333334,4059.9044,3780.94270445816,4361.9256606967865,8605.7877,6997.912601916189,6646.295562195491
12.75,3912.5928,3768.4578047894756,4471.95176867348,8542.7209,6828.091602795479,6498.875501072091
12.916666666666666,3688.01,3763.370005098438,4499.569899335254,8049.6,6705.900004033647,6489.705357432861
13.083333333333334,3910.4683,3817.342805692111,4424.418675872433,7493.4162,6883.7552035321205,6591.038609568182
13.25,3862.6154,3834.9581056038132,4221.146978067936,7354.9231,6717.427503725716,6471.274429830884
13.416666666666666,3589.29,3827.6700048743223,4004.044493506606,7340.8875,6265.050004662569,6168.644556794747
13.583333333333334,3849.2221,3893.263904674899,3944.743577940043,6714.7449,6241.1191037370245,6115.2801612948715
13.75,3978.2382,3906.2985053151438,4105.8281642861975,6127.755,6290.416101872332,6053.157454840196
13.916666666666666,3861.85,3871.550006055489,4208.543378448339,5956.2,6216.300000449566,5895.416364451755
14.083333333333334,4047.8905,3911.3368058594733,4030.790373007505,5941.7978,6181.434000071342,5866.03757571686
14.25,4095.2281,3878.1365057221797,3919.730139812617,5827.294,6047.915600112753,5761.432374050209
14.416666666666666,4007.39,3792.100005855523,4005.5375240151297,5738.1375,5758.537500397453,5545.2945280986105
14.583333333333334,4227.0513,3849.928805405829,4024.544549094665,5964.2607,5455.413300959292,5347.013466007709
14.75,4182.4486,4004.322504471934,3961.855140711257,5979.2451,5412.676699828975,5244.249518975641
14.916666666666666,3879.68,4111.9400037382575,3889.99186958172,5680.4625,5418.299998110896,5144.0817034949805
15.083333333333334,3916.2335,4048.532004027706,3874.482076808866,5457.1539,5001.827398959833,4877.055603768571
15.25,3924.3398,3899.0665053271296,3778.9623202269786,5153.0688,4697.39939955395,4645.531687601262
15.416666666666666,3875.5,3872.0300061066046,3694.700176523609,4811.1,4584.037499011938,4479.556654391707
15.583333333333334,4137.0155,4110.362604666298,3734.4225046165193,4680.9532,4217.334799143988,4161.198187026056
15.75,4317.2602,4232.8240037136675,3789.9134514591724,4481.2341,3892.0796987030017,3818.8838784731315
15.916666666666666,4217.43,4214.010004127128,3800.564181087361,4055.4,3756.637497297169,3522.2690406096067
16.083333333333332,4034.2858,4333.19060435577,3747.398484405575,3562.8565,3624.45289620102,3243.601698780457
16.25,3980.7146,4174.927704829462,3706.6803068451068,3361.4888,3335.8462966426796,3050.979432781679
16.416666666666668,4042.02,3991.850004622962,3737.144890676127,3406.575,2977.5749979862194,2907.82081045581
16.583333333333332,3983.774,4411.505402431504,3892.5733213544627,3291.2298,2767.3410984013626,2785.877113915649
16.75,3621.8931,4246.986702695838,3710.7869821495005,2964.175,2513.50999858016,2589.914702904203
16.916666666666668,3240.3,3538.360005238971,3209.132741787838,2623.6125,2166.4874990185813,2320.626579990232
17.083333333333332,3335.0072,3542.8764054296917,2994.881761854901,2479.2426,1892.596799342768,2085.266122729069
17.25,3462.6248,3659.3145050361045,3202.4216892972136,2185.8548,1730.907999084055,1897.8645158061818
17.416666666666668,3484.27,3539.760005602021,3456.798566712488,1750.4625,1616.4749983832317,1700.991658715191
17.583333333333332,3649.2081,3489.1585063438533,3165.059235316671,1528.3871,1447.3720979105774,1436.1913146694665
17.75,3604.3529,3482.089904890373,3074.904170131079,1310.4274,1250.367197928915,1223.7642287547185
17.916666666666668,3349.51,3497.4100020984724,3511.819354007534,1034.1,1054.574998245274,1058.4000187956153
18.083333333333332,3274.4828,3573.593801334253,3524.4984665280467,860.3286,854.5607984805692,860.9481858013701
18.25,3297.0032,3613.6869016312953,3152.226313615001,677.2547,631.385598866337,643.3616617153772
18.416666666666668,3342.79,3620.9100019844755,3026.4202827259287,452.7,416.0999993373217,441.6963028822624
18.583333333333332,3456.8314,3681.3967023577598,2934.2669407274125,276.0564,264.40959953946293,285.5584355611642
18.75,3634.5648,3682.014402274779,3147.267538562743,121.8367,122.78549974189632,130.28602838406877
18.916666666666668,3852.72,3671.8500015790305,3289.2557446984383,7.7625,6.787499984192703,6.300197288039789
19.083333333333332,4004.9442,3806.9784007011476,3185.60672027727,0.0,6.296064075243992e-10,0.007866652749203756
19.25,3706.7434,3830.7687006098495,3325.4748397714393,3.2619,3.541599992242509,3.678861104693062
19.416666666666668,3293.48,3686.4800014258262,3239.217269144577,0.0,0.0,0.0
19.583333333333332,3492.5254,3569.644102358089,3249.021604515172,0.0,0.0,0.0005634036341766197
19.75,3490.6667,3471.128002883811,3295.78161198057,0.2342,0.25429999932453223,0.2678147911934168
19.916666666666668,3189.62,3506.940002651189,3463.190224107517,0.0,0.0,0.0
20.083333333333332,3348.2366,3809.931501707969,3523.3115494604217,0.0,0.0,3.2749263696363784e-05
20.25,3725.2052,3890.99380126175,3283.5266534568586,0.0168,0.018299999951184875,0.01918834993213273
20.416666666666668,3960.13,3770.6000013225225,3345.0583437757796,0.0,0.0,0.0
20.583333333333332,3881.8245,3932.4898007612774,3129.961307508838,0.0,0.0,3.159336149263068e-05
20.75,3513.6729,4058.3329998618738,3203.8153492258875,0.0012,0.001299999996708539,0.0013330774247245127
20.916666666666668,3160.32,3918.7699997928257,3388.3853765322656,0.0,0.0,0.0
21.083333333333332,3214.7106,3614.0096015441363,3386.9003553750545,0.0,0.0,0.0
21.25,3489.1029,3370.792103375814,3348.750175345104,0.0,0.0,0.0
21.416666666666668,3713.49,3342.5800038710468,3142.590780835874,0.0,0.0,0.0
21.583333333333332,3715.4477,3493.8805029038053,3471.135705324096,0.0,0.0,0.0
21.75,3460.6768,3460.6218014480146,3272.7876096801715,0.0,0.0,0.0
21.916666666666668,3169.68,3267.440000335624,2936.8982004203835,0.0,0.0,0.0
22.083333333333332,3161.2424,3261.2987999146803,2835.032653396581,0.0,0.0,0.0
22.25,3268.4465,3218.1699001834604,2650.644182896124,0.0,0.0,0.0
22.416666666666668,3317.19,3190.1900002023044,2869.336805888034,0.0,0.0,0.0
22.583333333333332,3281.0391,3472.963898925994,2951.3421364421274,0.0,0.0,0.0
22.75,3250.7574,3653.9268982316016,3061.5181553701054,0.0,0.0,0.0
22.916666666666668,3190.39,3463.229999023446,3030.8329469968066,0.0,0.0,0.0
23.083333333333332,2998.9363,3048.4780004637396,2853.820218204134,0.0,0.0,0.0
23.25,2920.9743,2905.5899016059634,2840.9232844957755,0.0,0.0,0.0
23.416666666666668,2989.3,3071.9400016951085,3009.8910625653293,0.0,0.0,0.0
23.583333333333332,3024.571,3193.265500594728,3154.454472325319,0.0,0.0,0.0
23.75,3193.3141,3497.821299766977,3116.712512094491,0.0,0.0,0.0
23.916666666666668,3636.14,3929.3799993392204,3281.9683076182077,0.0,0.0,0.0
