日期,H紧急量/kWh,G紧急量/kWh
2025-02-01,9.974243653232406e-12,8.37019342725398e-12
2025-02-02,9.393374966748524e-12,7.476685937035654e-12
2025-02-03,1.355182632778451e-11,1.0844658504538529e-11
2025-02-04,1.4529710767874349e-11,1.2011502903419569e-11
2025-02-05,10.60454000001672,10.604540000014026
2025-02-06,1.3869794202037156e-11,1.4227952149781231e-11
2025-02-07,9.919176591210999e-12,1.0629719326971099e-11
2025-02-08,2.05648831297367e-11,1.2891021583527618e-11
2025-02-09,1.5509371564803587e-11,1.2724044040623994e-11
2025-02-10,1.1333156635373598e-11,1.227107304657693e-11
2025-02-11,1.2190026765779294e-11,1.2154499628991289e-11
2025-02-12,1.3137047005784552e-11,1.4932055591998505e-11
2025-02-13,1.4364121003751507e-11,9.70917790610315e-12
2025-02-14,1.6076029396572267e-11,1.3859136061000754e-11
2025-02-15,6.482196514683144,6.482196514685872
2025-02-16,15.047493333356261,15.047493333355032
2025-02-17,1.5942136499802473e-11,1.5660694963059996e-11
2025-02-18,19.25666000001442,1.474287358860238e-11
2025-02-19,49.32224669334903,201.65085129934738
2025-02-20,1.297806306865823e-11,1.2654766123887384e-11
2025-02-21,9.32875998671534e-12,1.2541800931131775e-11
2025-02-22,1.462241439043055e-11,1.4395040714987317e-11
2025-02-23,1.7835954935208065e-11,1.5430767774660126e-11
2025-02-24,21.01824846668488,21.018248466680653
2025-02-25,19.226873333345488,19.226873333344987
2025-02-26,2.120081887824199e-11,1.8813395286088053e-11
2025-02-27,934.2957852473487,934.2957852473439
2025-02-28,1.3534950937810208e-11,1.3513634655737405e-11
2025-03-01,1.070832311711456e-11,1.2914558311649671e-11
2025-03-02,1517.0116073386912,1659.0253811680248
2025-03-03,1.197314469791877e-11,1.5355328120136846e-11
2025-03-04,1.326494469822137e-11,1.4792611580105586e-11
2025-03-05,1.4074075238568184e-11,1.475797262173728e-11
2025-03-06,1.8252177547140036e-11,1.7483903214099428e-11
2025-03-07,1.0417888773872619e-11,1.2109868663401357e-11
2025-03-08,1.0722756016434687e-11,1.2111867064845683e-11
2025-03-09,1.3243184326938717e-11,1.1631667851119687e-11
2025-03-10,1300.4954350240187,1369.2047006400198
2025-03-11,1.801092608388899e-11,1.7705392707512146e-11
2025-03-12,1.2069456545305002e-11,1.1142198275138071e-11
2025-03-13,637.7114127373441,681.0717815940088
2025-03-14,1.0930145677434666e-11,1.0132561456543954e-11
2025-03-15,190.5287625666743,185.5947292600088
2025-03-16,1.6400000000182953,1.6400000000183006
2025-03-17,1.4425793892769434e-11,1.2802203741557605e-11
2025-03-18,792.3312420233489,792.3312420233499
2025-03-19,186.59892405002188,188.38627393668608
2025-03-20,236.25228465334717,235.42839512001234
2025-03-21,50.02841666667668,50.02841666667622
2025-03-22,1.0806466832491424e-11,1.0530243343964685e-11
2025-03-23,1.717115338806252e-11,1.212363542890671e-11
2025-03-24,1.4522216762458129e-11,1.638028601647079e-11
2025-03-25,509.4725357613619,539.2659638560264
2025-03-26,1.5512036100062687e-11,1.0124345806161728e-11
2025-03-27,1.5830892152735032e-11,1.4773959833291883e-11
2025-03-28,8.64908145103982e-12,7.363887277733738e-12
2025-03-29,9.50883816130954e-12,9.976020010071807e-12
2025-03-30,1.6573409311604337e-11,1.3381296071202087e-11
2025-03-31,25.046967882854826,15.86259507218275
2025-04-01,1.5348611270837864e-11,1.4006129589461125e-11
2025-04-02,807.421767034017,682.606504302014
2025-04-03,1.0179412868183135e-11,9.275247236928408e-12
2025-04-04,1.0125567051488815e-11,1.0791478821658984e-11
2025-04-05,1.1473932914896068e-11,1.4154455385551046e-11
2025-04-06,1.106759128788326e-11,5.40845146446145e-12
2025-04-07,1.5563550448405294e-11,1.2471135235614383e-11
2025-04-08,1.789313142097626e-11,1.3005707621971396e-11
2025-04-09,1.3255174735604669e-11,1.3182253899568508e-11
2025-04-10,1.1526779530868225e-11,9.565681580170349e-12
2025-04-11,8.888001445939153e-12,8.107459148476437e-12
2025-04-12,1.0106693260070188e-11,1.0868750344172895e-11
2025-04-13,1.5832668509574432e-11,1.4263257241964311e-11
2025-04-14,60.15450713334397,1.3036238755148588e-11
2025-04-15,1.1105782959930366e-11,8.971046128181115e-12
2025-04-16,1.5075052317570226e-11,1.5302870082223308e-11
2025-04-17,1.0724421350971625e-11,1.228828150345862e-11
2025-04-18,8.90154616683958e-12,8.162581721649076e-12
2025-04-19,6.359135440447972e-12,6.984635092521785e-12
2025-04-20,1.5546786080733455e-11,1.3454570790827347e-11
2025-04-21,1.809696836829744e-11,1.689748341249242e-11
2025-04-22,1.639310909240521e-11,1.731415011363424e-11
2025-04-23,1.5912604567347444e-11,9.724665517296671e-12
2025-04-24,1.780886549340721e-11,1.3164386247765947e-11
2025-04-25,9.110934229283885e-12,9.796607969292381e-12
2025-04-26,8.925304939566558e-12,1.2443379659998755e-11
2025-04-27,2.4586110924929017e-11,1.6976198224938344e-11
2025-04-28,261.10907466935555,325.43410636401944
2025-04-29,1.3042122937179101e-11,9.15401088263934e-12
2025-04-30,1.553335238213549e-11,1.304822916381454e-11
2025-05-01,1398.937423150012,2058.1017325933417
2025-05-02,1593.9821321220097,1531.9516324553451
2025-05-03,160.88066118867408,160.88066118867476
2025-05-04,1319.9022010666852,1654.8434507333452
2025-05-05,1154.6731028813401,1138.406807481339
2025-05-06,1227.0759526633428,1807.170083663341
2025-05-07,1510.9159907706783,1660.284225570673
2025-05-08,268.0864296946759,82.43748333334509
2025-05-09,1.0660805571660603e-11,1.0291323349065351e-11
2025-05-10,1.0241030246049831e-11,8.452571975681167e-12
2025-05-11,62.016115076683576,67.72965036001578
2025-05-12,1.7477574942859064e-11,1.1624479157035239e-11
2025-05-13,12.099987333347471,1.0488498958238779e-11
2025-05-14,1.4158452188439696e-11,1.2115197733919558e-11
2025-05-15,1.1860734616675472e-11,1.0150991158752731e-11
2025-05-16,7.976286298116975e-12,7.670752921740132e-12
2025-05-17,1.1848660941282674e-11,9.637984854649062e-12
2025-05-18,5.236666666682989,5.236666666683656
2025-05-19,79.23650000001176,79.23650000000657
2025-05-20,1.8695267556267936e-11,1.872013655201954e-11
2025-05-21,1.752178957481476e-11,1.4426043692949975e-11
