x,储电量,电价
0.08333333333333333,6750.0,0.4248
0.25,7500.0,0.4245
0.4166666666666667,8250.0,0.4269
0.5833333333333334,9000.0,0.4272
0.75,9750.0,0.4271
0.9166666666666666,9750.0,0.4285
1.0833333333333333,9750.0,0.4311
1.25,9750.0,0.4302
1.4166666666666667,10050.0,0.4279
1.5833333333333333,10050.0,0.4312
1.75,10050.0,0.4333
1.9166666666666667,10050.0,0.4311
2.0833333333333335,10050.0,0.4293
2.25,10050.0,0.4324
2.4166666666666665,10050.0,0.4367
2.5833333333333335,10050.0,0.4348
2.75,10050.0,0.4335
2.9166666666666665,10050.0,0.4357
3.0833333333333335,10050.0,0.4374
3.25,10050.0,0.4371
3.4166666666666665,10050.0,0.4356
3.5833333333333335,10050.0,0.4353
3.75,10050.0,0.436
3.9166666666666665,10050.0,0.4378
4.083333333333333,10050.0,0.4401
4.25,10050.0,0.4389
4.416666666666667,10050.0,0.4364
4.583333333333333,10050.0,0.4393
4.75,10050.0,0.4422
4.916666666666667,10050.0,0.4395
5.083333333333333,10050.0,0.4333
5.25,10050.0,0.4439
5.416666666666667,10050.0,0.4301
5.583333333333333,10800.0,0.3713
5.75,10800.0,0.5708
5.916666666666667,10057.495685185186,0.9099
6.083333333333333,9329.211981481481,0.9368
6.25,8644.2075,0.8758
6.416666666666667,7987.035851851852,0.8759
6.583333333333333,7367.606000000001,0.8601
6.75,6779.561888888889,0.8442
6.916666666666667,6221.261092592593,0.8334
7.083333333333333,5715.212685185185,0.8092
7.25,5259.583018518519,0.7972
7.416666666666667,4862.919925925926,0.7644
7.583333333333333,4548.071518518518,0.6899
7.75,4191.755833333333,0.86
7.916666666666667,3726.843111111111,1.1617
8.083333333333334,3302.4977962962957,1.1683
8.25,2958.546296296296,1.0956
8.416666666666666,2664.5247407407405,1.0849
8.583333333333334,2427.0349629629627,1.061
8.75,2228.636166666666,1.043
8.916666666666666,2055.9782592592587,1.036
9.083333333333334,1931.2454814814807,1.0147
9.25,1859.6934074074068,0.9922
9.416666666666666,1834.62424074074,0.97
9.583333333333334,1850.30590074074,0.9422
9.75,1897.8598907407402,0.9569
9.916666666666666,1973.96606574074,0.9977
10.083333333333334,2079.25129074074,0.9919
10.25,2211.24583074074,0.9588
10.416666666666666,2367.4140557407404,0.9549
10.583333333333334,2548.3402307407405,0.9839
10.75,2751.2057357407402,0.799
10.916666666666666,2970.8140607407404,0.5025
11.083333333333334,3720.8140607407404,0.4662
11.25,3966.1824407407403,0.5007
11.416666666666666,4222.071325740741,0.4827
11.583333333333334,4643.792100000002,0.4785
11.75,5393.792100000002,0.4662
11.916666666666666,6143.792100000002,0.4432
12.083333333333334,6893.792100000002,0.4411
12.25,7643.792100000002,0.4551
12.416666666666666,8393.792100000002,0.4463
12.583333333333334,9143.792100000002,0.4113
12.75,9417.888690000002,0.5682
12.916666666666666,9655.945155000001,0.8279
13.083333333333334,9874.20195,0.8636
13.25,10074.969975,0.8416
13.416666666666666,10253.853360000001,0.8618
13.583333333333334,10413.477195000001,0.8623
13.75,10550.043465,0.9026
13.916666666666666,10658.074995,0.9754
14.083333333333334,10737.108,1.0002
14.25,10785.37038,0.9978
14.416666666666666,10800.0,1.0271
14.583333333333334,10773.57625925926,1.0906
14.75,10698.77624074074,0.9376
14.916666666666666,10698.77624074074,0.6694
15.083333333333334,10800.0,0.66
15.25,10800.0,0.7217
15.416666666666666,10800.0,0.7308
15.583333333333334,10800.0,0.7534
15.75,10800.0,0.7823
15.916666666666666,10800.0,0.8055
16.083333333333332,10800.0,0.8271
16.25,10800.0,0.8519
16.416666666666668,10800.0,0.8791
16.583333333333332,10800.0,0.9024
16.75,10800.0,0.9163
16.916666666666668,10800.0,0.9264
17.083333333333332,10800.0,0.9462
17.25,10800.0,0.9742
17.416666666666668,10800.0,0.9862
17.583333333333332,10800.0,0.976
17.75,10800.0,1.0742
17.916666666666668,10800.0,1.2313
18.083333333333332,10678.591944444444,1.2561
18.25,10678.591944444444,1.2447
18.416666666666668,10678.591944444444,1.2545
18.583333333333332,10678.591944444444,1.2522
18.75,9895.664981481481,1.2881
18.916666666666668,9110.682722222222,1.3466
19.083333333333332,8324.675537037037,1.3523
19.25,7537.394425925927,1.3445
19.416666666666668,6749.120111111112,1.3483
19.583333333333332,5958.861833333334,1.349
19.75,5168.125722222223,1.3473
19.916666666666668,4377.631240740741,1.3482
20.083333333333332,3584.626703703704,1.3513
20.25,2789.8665370370372,1.34
20.416666666666668,1995.1700370370372,1.3489
20.583333333333332,1200.0,1.3952
20.75,1200.0,1.2226
20.916666666666668,1200.0,0.9332
21.083333333333332,1200.0,0.9068
21.25,1200.0,0.9371
21.416666666666668,1200.0,0.9371
21.583333333333332,1200.0,0.9871
21.75,1200.0,0.7764
21.916666666666668,1950.0,0.4209
22.083333333333332,2700.0,0.3859
22.25,2700.0,0.4368
22.416666666666668,3450.0,0.4198
22.583333333333332,4200.0,0.4186
22.75,4200.0,0.4241
22.916666666666668,4950.0,0.4237
23.083333333333332,4950.0,0.4248
23.25,5250.0,0.424
23.416666666666668,6000.0,0.422
23.583333333333332,6000.0,0.424
23.75,6000.0,0.4271
23.916666666666668,6000.0,0.4276
