配置,lam,kappa,margin,开发期(2-6月)/万元,冻结验证期(7-12月)/万元,全年描述值/万元,开发期选中,验证期排名
λ=0.7 κ=1.01 m=0,0.7,1.01,0.0,550.5,795.2,1345.7,True,3
λ=0.5 κ=1.01 m=0,0.5,1.01,0.0,550.6,792.9,1343.5,False,1
λ=0.3 κ=1.01 m=0,0.3,1.01,0.0,553.2,794.1,1347.3,False,2
λ=0.9 κ=1.01 m=0,0.9,1.01,0.0,553.3,799.3,1352.6,False,4
λ=1 κ=1.01 m=0,1.0,1.01,0.0,555.5,802.9,1358.4,False,5
