v1_D-1,v2_D-7,v3_典型日,MAE/元
0.1,0.8,0.1,0.04531681387225549
0.1,0.9,0.0,0.0455006002578177
0.2,0.8,0.0,0.045863897205588824
0.0,0.9,0.1,0.045939632609780436
0.2,0.7,0.1,0.046555190660345976
0.0,0.8,0.2,0.047027354457751164
0.0,1.0,0.0,0.04715118305056553
0.1,0.7,0.2,0.047368274908516306
0.3,0.7,0.0,0.04790941304890219
0.3,0.6,0.1,0.049246170991350625
0.2,0.6,0.2,0.04933592772787758
0.0,0.7,0.3,0.050108534389554225
0.4,0.6,0.0,0.05114872130738522
0.1,0.6,0.3,0.05123040585495675
0.3,0.5,0.2,0.0525408755405855
0.4,0.5,0.1,0.05297529669827013
0.2,0.5,0.3,0.053748638764138386
0.0,0.6,0.4,0.05468971432135729
0.5,0.5,0.0,0.05527422134896873
0.1,0.5,0.4,0.05638288942947438
0.4,0.4,0.2,0.05666942614770459
0.3,0.4,0.3,0.05735670908183633
0.5,0.4,0.1,0.057479083915502334
0.2,0.4,0.4,0.05932608782435131
0.6,0.4,0.0,0.06009188705921491
0.0,0.5,0.5,0.060263904482701254
0.5,0.3,0.2,0.0614775130988024
0.4,0.3,0.3,0.06178723615269462
0.1,0.4,0.5,0.062402636809713904
0.6,0.3,0.1,0.06261155293579508
0.3,0.3,0.4,0.06322473532102463
0.7,0.3,0.0,0.06548176584331337
0.2,0.3,0.5,0.06566306907019295
0.0,0.4,0.6,0.0665770874916833
0.5,0.2,0.3,0.06684274783765802
0.6,0.2,0.2,0.06685377203925483
0.4,0.2,0.4,0.06789425523952096
0.7,0.2,0.1,0.06826315369261476
0.1,0.3,0.6,0.06907379511809715
0.3,0.2,0.5,0.06982392090818364
0.8,0.2,0.0,0.07134639013639388
0.6,0.1,0.3,0.07240414275615435
0.2,0.2,0.6,0.07260463364936794
0.7,0.1,0.2,0.07269437146540253
0.5,0.1,0.4,0.0731421746091151
0.0,0.3,0.7,0.07345305243679308
0.8,0.1,0.1,0.07434080817531603
0.4,0.1,0.5,0.07470296719061875
0.1,0.2,0.7,0.07624116392215569
0.3,0.1,0.6,0.07698763119594146
0.9,0.1,0.0,0.07763223532102462
0.7,0.0,0.3,0.0784063132069195
0.6,0.0,0.4,0.07888422821024617
0.8,0.0,0.2,0.0789638248502994
0.2,0.1,0.7,0.0800086242099135
0.5,0.0,0.5,0.08013194652361944
0.0,0.2,0.8,0.08074997712907518
0.9,0.0,0.1,0.08084481828010645
0.4,0.0,0.6,0.08202852960745176
0.1,0.1,0.8,0.08380004511809715
1.0,0.0,0.0,0.08432593978709248
0.3,0.0,0.7,0.08457987940785097
0.2,0.0,0.8,0.08777942864271458
0.0,0.1,0.9,0.08839326617598135
0.1,0.0,0.9,0.09166792248835663
0.0,0.0,1.0,0.09632272538256821
